hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,457.7,324.3,235.9,140.7,0.0
1,488.1,0.0,-183.6,0.0,83.8,0.0
2,143.0,0.0,0.0,517.0,0.0,0.0
3,-40.7,823.2,129.0,0.0,201.3,0.0
4,-57.9,340.5,620.5,0.0,0.0,0.0
5,0.0,-243.4,0.0,-182.2,734.5,0.0
6,532.9,289.5,294.2,421.2,-825.7,0.0
7,69.1,836.2,324.9,0.0,0.0,0.0
8,543.8,-345.2,0.0,-137.9,0.0,0.0
9,247.5,0.0,0.0,892.1,1862.1,0.0
10,798.5,116.3,568.9,744.3,0.0,0.0
11,699.5,0.0,0.0,138.6,1293.1,0.0
12,0.0,54.7,582.6,0.0,760.7,0.0
13,195.3,201.3,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,246.9,0.0,0.0
15,80.6,0.0,0.0,1054.2,0.0,0.0
16,-6.6,636.3,182.0,0.0,89.5,0.0
17,0.0,0.0,160.9,89.1,0.0,1106.7
18,164.5,255.9,721.2,0.0,0.0,693.5
19,67.8,20.7,158.8,345.1,0.0,551.4
20,-151.6,0.0,503.8,0.0,0.0,0.0
21,673.3,0.0,0.0,-424.8,0.0,0.0
22,84.1,521.0,0.0,429.5,0.0,276.7
23,0.0,191.4,516.0,-97.8,0.0,0.0
