entry_weekday,pnl,trades,win_rate
Monday,4531.4,355,63.38
Tuesday,4156.08,275,66.91
Wednesday,4903.55,241,67.63
Thursday,4271.18,273,66.3
Friday,4340.04,173,63.58
Sunday,2628.27,146,66.44
