hour_EST,pnl,trades,win_rate
0,1175.85,55,54.55
1,771.96,42,52.38
2,204.07,38,47.37
3,1038.07,88,50.0
4,1103.13,60,53.33
5,1460.12,45,53.33
6,330.68,73,46.58
7,-415.09,32,34.38
8,-788.92,60,40.0
9,2646.42,51,52.94
10,1656.66,54,51.85
11,1679.59,51,54.9
12,1423.9,59,47.46
13,-219.68,36,41.67
14,809.87,25,52.0
15,899.43,29,55.17
16,1486.73,81,55.56
17,659.86,57,49.12
18,1899.48,90,53.33
19,393.09,73,47.95
20,52.94,45,42.22
21,406.38,48,54.17
22,688.59,86,44.19
23,799.34,51,54.9
