entry_weekday,pnl,trades,win_rate
Monday,4023.88,326,48.77
Tuesday,3237.19,240,50.42
Wednesday,3152.37,211,50.24
Thursday,2430.12,258,48.45
Friday,5218.48,168,51.79
Sunday,2100.43,126,50.0
