hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,440.7,204.6,189.3,193.9,0.0
1,557.8,0.0,-8.3,0.0,30.5,0.0
2,-19.9,0.0,0.0,332.8,0.0,0.0
3,522.1,1377.0,74.0,0.0,293.9,0.0
4,29.5,185.8,715.5,0.0,0.0,0.0
5,0.0,264.0,0.0,39.3,856.5,0.0
6,238.9,547.2,247.2,499.5,-113.6,0.0
7,159.8,716.4,180.0,0.0,0.0,0.0
8,679.8,67.8,0.0,840.5,0.0,0.0
9,299.1,0.0,0.0,450.6,2072.1,0.0
10,648.9,186.0,1159.8,677.3,0.0,0.0
11,676.1,0.0,0.0,731.1,1509.1,0.0
12,0.0,230.5,1194.2,0.0,398.5,0.0
13,230.9,312.3,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,-32.0,0.0,0.0
15,448.2,0.0,0.0,837.1,0.0,0.0
16,234.2,549.0,138.5,0.0,623.3,0.0
17,0.0,0.0,297.9,84.0,0.0,1180.2
18,314.0,397.9,615.7,0.0,0.0,219.2
19,112.4,8.9,127.6,358.6,0.0,1086.8
20,109.2,0.0,453.9,0.0,0.0,0.0
21,584.6,0.0,0.0,-398.8,0.0,0.0
22,-108.2,635.9,0.0,187.5,0.0,-12.2
23,0.0,302.7,463.9,-74.8,0.0,0.0
