entry_month,pnl,trades,win_rate
2025-01,2521.8,181,60.22
2025-02,1389.5,160,64.38
2025-03,4386.84,194,65.98
2025-04,12429.41,242,68.18
2025-05,3647.14,186,65.59
2025-06,1183.58,206,60.68
2025-07,1431.16,208,59.62
2025-08,152.1,32,59.38
2025-10,771.56,81,62.96
2025-11,-1076.64,103,47.57
2025-12,507.57,55,63.64
