entry_month,pnl,trades,win_rate
2025-01,1005.05,169,44.38
2025-02,1004.87,148,51.35
2025-03,3275.98,170,52.94
2025-04,13459.92,210,55.71
2025-05,4100.85,169,51.48
2025-06,562.97,188,45.74
2025-07,642.86,182,45.05
2025-08,-402.19,26,34.62
2025-10,791.73,59,50.85
2025-11,-914.91,91,35.16
2025-12,926.91,50,54.0
