hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,55.5,-362.3,120.7,712.7,0.0
1,248.7,0.0,203.4,0.0,-26.7,0.0
2,50.5,0.0,0.0,248.8,0.0,0.0
3,-874.6,1250.5,353.3,0.0,-772.1,0.0
4,184.1,645.5,1234.1,0.0,0.0,0.0
5,0.0,803.9,0.0,-515.6,1747.3,0.0
6,816.5,0.7,719.6,-523.7,-356.7,0.0
7,278.5,-18.0,-23.8,0.0,0.0,0.0
8,269.4,-213.1,0.0,-333.3,0.0,0.0
9,307.9,0.0,0.0,1521.0,2874.3,0.0
10,972.6,-742.6,-129.3,792.4,0.0,0.0
11,1249.5,0.0,0.0,356.1,2023.2,0.0
12,0.0,25.9,-218.1,0.0,84.8,0.0
13,286.0,-834.4,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1744.2,0.0,0.0
15,457.4,0.0,0.0,4.4,0.0,0.0
16,-339.5,31.3,493.9,0.0,263.7,0.0
17,0.0,0.0,321.3,26.6,0.0,1151.7
18,589.3,111.0,269.2,0.0,0.0,134.9
19,-141.9,11.5,125.7,-127.5,0.0,666.6
20,383.7,0.0,5.3,0.0,0.0,0.0
21,287.8,0.0,0.0,-637.2,0.0,0.0
22,271.6,899.1,0.0,425.9,0.0,929.7
23,0.0,646.9,193.4,761.0,0.0,0.0
