hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,53.84615384615385,53.333333333333336,58.333333333333336,70.0,0.0
1,70.58823529411765,0.0,53.333333333333336,0.0,60.0,0.0
2,50.0,0.0,0.0,58.620689655172406,0.0,0.0
3,41.37931034482759,77.27272727272727,60.0,0.0,58.82352941176471,0.0
4,60.0,47.368421052631575,68.18181818181817,0.0,0.0,0.0
5,0.0,75.0,0.0,61.111111111111114,61.53846153846154,0.0
6,60.0,68.75,52.17391304347826,46.666666666666664,50.0,0.0
7,57.14285714285714,50.0,61.53846153846154,0.0,0.0,0.0
8,64.0,43.75,0.0,50.0,0.0,0.0
9,45.45454545454545,0.0,0.0,69.56521739130434,69.23076923076923,0.0
10,55.172413793103445,44.44444444444444,62.5,53.84615384615385,0.0,0.0
11,66.66666666666666,0.0,0.0,63.1578947368421,68.0,0.0
12,0.0,59.25925925925925,52.17391304347826,0.0,52.94117647058824,0.0
13,51.85185185185185,56.25,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,61.53846153846154,0.0,0.0
15,70.0,0.0,0.0,61.53846153846154,0.0,0.0
16,92.3076923076923,59.25925925925925,58.06451612903226,0.0,56.52173913043478,0.0
17,0.0,0.0,44.44444444444444,60.0,0.0,64.0
18,64.28571428571429,53.84615384615385,85.71428571428571,0.0,0.0,53.48837209302325
19,33.33333333333333,30.0,60.0,63.1578947368421,0.0,77.27272727272727
20,61.53846153846154,0.0,53.84615384615385,0.0,0.0,0.0
21,52.17391304347826,0.0,0.0,57.692307692307686,0.0,0.0
22,50.0,56.52173913043478,0.0,64.28571428571429,0.0,64.0
23,0.0,82.35294117647058,65.21739130434783,70.58823529411765,0.0,0.0
