hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,308.3,-119.5,-2.0,278.5,0.0
1,359.0,0.0,169.9,0.0,139.0,0.0
2,299.7,0.0,0.0,70.2,0.0,0.0
3,-892.9,843.8,238.9,0.0,-62.2,0.0
4,673.8,345.3,864.9,0.0,0.0,0.0
5,0.0,758.0,0.0,43.7,1449.8,0.0
6,648.6,792.5,-0.8,-165.0,121.6,0.0
7,467.4,-66.4,404.4,0.0,0.0,0.0
8,1002.3,-835.5,0.0,39.2,0.0,0.0
9,-124.3,0.0,0.0,1199.7,2190.4,0.0
10,394.8,116.4,543.7,367.1,0.0,0.0
11,527.5,0.0,0.0,848.6,1016.6,0.0
12,0.0,701.9,624.1,0.0,292.6,0.0
13,236.4,-353.5,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,555.6,0.0,0.0
15,697.0,0.0,0.0,717.3,0.0,0.0
16,786.8,309.6,94.9,0.0,769.4,0.0
17,0.0,0.0,342.6,-44.9,0.0,924.2
18,335.8,-39.8,164.8,0.0,0.0,-79.5
19,-222.9,-268.2,172.5,192.2,0.0,1547.3
20,65.5,0.0,303.2,0.0,0.0,0.0
21,193.3,0.0,0.0,-416.5,0.0,0.0
22,-256.8,415.3,0.0,623.7,0.0,880.9
23,0.0,817.8,413.2,593.2,0.0,0.0
