entry_weekday,pnl,trades,win_rate
Monday,5935.49,403,54.34
Tuesday,3592.49,297,54.21
Wednesday,4513.77,284,54.58
Thursday,3974.45,321,54.52
Friday,5261.83,206,55.34
Sunday,3304.02,124,58.87
