entry_weekday,pnl,trades,win_rate
Monday,8040.02,312,66.03
Tuesday,6552.69,239,68.62
Wednesday,4129.03,240,64.17
Thursday,7251.52,266,67.67
Friday,6962.58,179,67.04
Sunday,2676.7,77,70.13
