entry_weekday,pnl,trades,win_rate
Monday,3030.58,527,55.98
Tuesday,1507.03,405,56.79
Wednesday,4850.35,372,59.95
Thursday,2961.29,425,57.88
Friday,2858.11,265,54.34
Sunday,2223.89,169,59.17
