run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
34,42,270,0.35,5,15,25,16,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.351358652114868,logs\backtest_results\EUR-USD_20251023_074921_501580,11
38,42,270,0.35,5,15,28,10,True,14,True,14,3,30,70,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,failed,,2.9866764545440674,,0
40,42,270,0.35,5,15,28,14,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.149658679962158,logs\backtest_results\EUR-USD_20251023_074937_262179,11
43,42,270,0.35,5,15,32,4,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,15.88517689704895,logs\backtest_results\EUR-USD_20251023_074937_330611,11
39,42,270,0.35,5,15,28,12,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.517488479614258,logs\backtest_results\EUR-USD_20251023_074937_535736,11
44,42,270,0.35,5,15,32,8,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.1359441280365,logs\backtest_results\EUR-USD_20251023_074937_619465,11
41,42,270,0.35,5,15,28,16,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.512719869613647,logs\backtest_results\EUR-USD_20251023_074937_700026,11
42,42,270,0.35,5,15,28,18,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.635392904281616,logs\backtest_results\EUR-USD_20251023_074938_053529,11
45,42,270,0.35,5,15,32,10,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.58200693130493,logs\backtest_results\EUR-USD_20251023_074938_133764,11
46,42,270,0.35,5,15,32,12,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,15.820572137832642,logs\backtest_results\EUR-USD_20251023_074939_350300,11
47,42,270,0.35,5,15,32,14,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.466388463974,logs\backtest_results\EUR-USD_20251023_074953_782495,11
50,42,270,0.35,5,20,5,4,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.51445508003235,logs\backtest_results\EUR-USD_20251023_074954_211625,11
49,42,270,0.35,5,15,32,18,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,16.59081268310547,logs\backtest_results\EUR-USD_20251023_074954_227658,11
57,42,270,0.35,5,20,10,4,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.71670699119568,logs\backtest_results\EUR-USD_20251023_074954_465957,11
64,42,270,0.35,5,20,15,4,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.402692794799805,logs\backtest_results\EUR-USD_20251023_074954_606176,11
58,42,270,0.35,5,20,10,8,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.712928771972656,logs\backtest_results\EUR-USD_20251023_074954_801542,11
48,42,270,0.35,5,15,32,16,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,18.555425882339478,logs\backtest_results\EUR-USD_20251023_074955_942873,11
65,42,270,0.35,5,20,15,8,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.719929695129395,logs\backtest_results\EUR-USD_20251023_074956_109896,11
66,42,270,0.35,5,20,15,10,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,17.092442989349365,logs\backtest_results\EUR-USD_20251023_075010_887251,11
72,42,270,0.35,5,20,22,8,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.30484938621521,logs\backtest_results\EUR-USD_20251023_075010_877703,11
68,42,270,0.35,5,20,15,14,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,16.908780336380005,logs\backtest_results\EUR-USD_20251023_075011_120755,11
67,42,270,0.35,5,20,15,12,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,17.194896459579468,logs\backtest_results\EUR-USD_20251023_075011_410573,11
71,42,270,0.35,5,20,22,4,True,14,True,14,3,30,70,-792.61,-0.09056149595378478,0.1746031746031746,0.0,63,194.88,-56.7,0.0,-12.581111111111106,238,completed,,17.06014132499695,logs\backtest_results\EUR-USD_20251023_075011_546741,11
