run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
21,42,270,0.35,15,30,30,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,108.38172626495361,logs\backtest_results\EUR-USD_20251104_214111_241072,12
22,42,270,0.35,15,30,30,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,108.12403464317322,logs\backtest_results\EUR-USD_20251104_214113_553703,12
25,42,270,0.35,15,30,30,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,100.98954725265503,logs\backtest_results\EUR-USD_20251104_214247_695588,12
24,42,270,0.35,15,30,30,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,101.47840809822083,logs\backtest_results\EUR-USD_20251104_214247_765816,12
23,42,270,0.35,15,30,30,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,102.3068675994873,logs\backtest_results\EUR-USD_20251104_214248_010953,12
31,42,270,0.35,15,40,15,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,101.5811698436737,logs\backtest_results\EUR-USD_20251104_214248_706746,16
32,42,270,0.35,15,40,15,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,101.5367910861969,logs\backtest_results\EUR-USD_20251104_214248_835584,16
26,42,270,0.35,15,40,10,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,103.72700762748718,logs\backtest_results\EUR-USD_20251104_214250_629425,16
33,42,270,0.35,15,40,15,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,99.36126232147217,logs\backtest_results\EUR-USD_20251104_214251_554937,16
36,42,270,0.35,15,40,20,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,101.8512852191925,logs\backtest_results\EUR-USD_20251104_214255_361736,16
37,42,270,0.35,15,40,20,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,104.0467758178711,logs\backtest_results\EUR-USD_20251104_214430_922337,16
38,42,270,0.35,15,40,20,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,104.41825008392334,logs\backtest_results\EUR-USD_20251104_214431_428740,16
39,42,270,0.35,15,40,20,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,104.59792017936707,logs\backtest_results\EUR-USD_20251104_214431_398015,16
40,42,270,0.35,15,40,20,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,106.56367421150208,logs\backtest_results\EUR-USD_20251104_214433_864226,16
41,42,270,0.35,15,40,25,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,107.1260154247284,logs\backtest_results\EUR-USD_20251104_214434_854511,16
42,42,270,0.35,15,40,25,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,105.72605752944946,logs\backtest_results\EUR-USD_20251104_214435_265165,16
43,42,270,0.35,15,40,25,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,105.64877223968506,logs\backtest_results\EUR-USD_20251104_214436_102030,16
44,42,270,0.35,15,40,25,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,106.22627449035645,logs\backtest_results\EUR-USD_20251104_214440_379489,16
45,42,270,0.35,15,40,25,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,114.6757538318634,logs\backtest_results\EUR-USD_20251104_214626_031738,16
46,42,270,0.35,15,40,30,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,114.93153166770935,logs\backtest_results\EUR-USD_20251104_214626_527809,16
47,42,270,0.35,15,40,30,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,115.23575353622437,logs\backtest_results\EUR-USD_20251104_214627_174184,16
48,42,270,0.35,15,40,30,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,113.61360001564026,logs\backtest_results\EUR-USD_20251104_214628_480402,16
50,42,270,0.35,15,40,30,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,112.72300887107849,logs\backtest_results\EUR-USD_20251104_214628_812942,16
49,42,270,0.35,15,40,30,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-7690.59,-0.037,0.25849056603773585,0.0,530,392.00941605839427,-156.2236132315521,0.0,-14.51054716981124,157688,completed,,113.14295196533203,logs\backtest_results\EUR-USD_20251104_214628_807136,16
