hour_EST,pnl,trades,win_rate
0,432.71,44,52.27
1,754.83,39,56.41
2,522.97,42,54.76
3,3.56,104,49.04
4,2273.07,65,53.85
5,1863.34,54,57.41
6,1407.28,86,51.16
7,-234.21,40,45.0
8,472.32,62,48.39
9,3429.1,56,60.71
10,1607.98,70,50.0
11,5832.52,59,67.8
12,-346.75,67,44.78
13,-559.91,39,43.59
14,1258.72,21,61.9
15,1287.39,26,61.54
16,1622.02,76,52.63
17,1771.08,49,59.18
18,1190.61,63,57.14
19,1208.84,58,56.9
20,137.98,40,50.0
21,-548.5,40,47.5
22,2364.62,74,55.41
23,1433.19,50,60.0
