entry_month,pnl,trades,win_rate
2025-01,2504.6,143,62.24
2025-02,1293.08,120,65.83
2025-03,3872.55,141,68.79
2025-04,13217.81,195,72.31
2025-05,3462.94,139,65.47
2025-06,2312.16,147,65.99
2025-07,3502.68,167,65.27
2025-08,162.23,22,50.0
2025-10,648.13,63,63.49
2025-11,-393.84,62,51.61
2025-12,122.61,31,61.29
