hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,416.7,-126.7,81.8,861.3,0.0
1,389.4,0.0,521.7,0.0,-95.1,0.0
2,-30.5,0.0,0.0,387.9,0.0,0.0
3,283.5,957.9,39.2,0.0,50.7,0.0
4,761.7,640.5,1022.2,0.0,0.0,0.0
5,0.0,513.1,0.0,19.0,894.1,0.0
6,864.5,803.8,463.8,-443.7,-737.4,0.0
7,-412.8,-300.3,135.9,0.0,0.0,0.0
8,548.7,282.1,0.0,746.8,0.0,0.0
9,14.6,0.0,0.0,556.0,1648.8,0.0
10,1346.2,1.0,255.8,425.6,0.0,0.0
11,603.8,0.0,0.0,1784.3,2872.4,0.0
12,0.0,5.9,318.9,0.0,-292.0,0.0
13,249.1,-294.8,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,621.6,0.0,0.0
15,489.4,0.0,0.0,381.3,0.0,0.0
16,498.6,613.1,545.6,0.0,785.0,0.0
17,0.0,0.0,257.2,213.3,0.0,1079.2
18,19.7,267.9,472.7,0.0,0.0,528.5
19,56.8,120.9,93.6,449.5,0.0,1227.3
20,26.8,0.0,331.8,0.0,0.0,0.0
21,-11.2,0.0,0.0,-274.8,0.0,0.0
22,233.9,1277.4,0.0,106.8,0.0,96.0
23,0.0,608.7,757.1,-16.7,0.0,0.0
