hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,515.2,527.5,7.4,97.4,0.0
1,589.0,0.0,54.1,0.0,-169.1,0.0
2,35.3,0.0,0.0,106.1,0.0,0.0
3,362.9,545.2,-183.3,0.0,53.8,0.0
4,-382.0,808.0,443.6,0.0,0.0,0.0
5,0.0,103.9,0.0,-296.8,1211.4,0.0
6,37.5,439.3,318.1,-57.1,-403.9,0.0
7,171.6,-230.9,102.8,0.0,0.0,0.0
8,387.7,-590.9,0.0,-472.9,0.0,0.0
9,199.4,0.0,0.0,411.7,1142.2,0.0
10,1344.3,316.0,-306.8,326.2,0.0,0.0
11,208.3,0.0,0.0,349.0,1635.5,0.0
12,0.0,93.6,351.6,0.0,1079.4,0.0
13,-535.0,236.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,447.9,0.0,0.0
15,140.7,0.0,0.0,679.1,0.0,0.0
16,124.5,386.5,568.3,0.0,-69.2,0.0
17,0.0,0.0,-22.1,-157.5,0.0,995.8
18,95.2,361.7,358.1,0.0,0.0,877.9
19,-143.0,31.8,-31.5,283.5,0.0,407.4
20,64.6,0.0,-34.5,0.0,0.0,0.0
21,759.6,0.0,0.0,-173.4,0.0,0.0
22,2.6,194.2,0.0,102.0,0.0,91.1
23,0.0,60.9,601.2,41.2,0.0,0.0
