entry_weekday,pnl,trades,win_rate
Monday,3463.47,350,52.29
Tuesday,3270.56,266,54.51
Wednesday,2747.17,227,53.74
Thursday,1596.33,273,52.38
Friday,4577.55,177,54.24
Sunday,2372.3,138,55.07
