entry_weekday,pnl,trades,win_rate
Monday,4173.09,269,47.96
Tuesday,4640.92,200,52.0
Wednesday,4357.19,180,51.11
Thursday,3771.77,210,51.9
Friday,6770.08,146,52.74
Sunday,2595.7,106,52.83
