entry_weekday,pnl,trades,win_rate
Monday,8201.26,246,69.51
Tuesday,6057.12,190,70.53
Wednesday,5412.53,172,68.02
Thursday,5259.23,188,68.09
Friday,8148.59,137,70.07
Sunday,1665.61,82,65.85
