run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,regime_detection_enabled,regime_adx_trending_threshold,regime_adx_ranging_threshold,regime_tp_multiplier_trending,regime_tp_multiplier_ranging,regime_sl_multiplier_trending,regime_sl_multiplier_ranging,regime_trailing_activation_multiplier_trending,regime_trailing_activation_multiplier_ranging,regime_trailing_distance_multiplier_trending,regime_trailing_distance_multiplier_ranging,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
12,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.0,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,117.84857654571533,logs\backtest_results\EUR-USD_20251115_170308,7,-0.04219337068412477,11
11,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.0,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.10810208320618,logs\backtest_results\EUR-USD_20251115_170308,7,-0.04219337068412477,12
13,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.3,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.14741444587708,logs\backtest_results\EUR-USD_20251115_170309,7,-0.04219337068412477,13
14,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.3,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.222647190094,logs\backtest_results\EUR-USD_20251115_170309,7,-0.04219337068412477,14
15,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.3,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.87341213226318,logs\backtest_results\EUR-USD_20251115_170310,7,-0.04219337068412477,15
16,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.6,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.83768439292908,logs\backtest_results\EUR-USD_20251115_170310,7,-0.04219337068412477,16
18,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.6,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,117.19280195236206,logs\backtest_results\EUR-USD_20251115_170505,7,-0.04219337068412477,17
19,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,15.0,1.0,0.7,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,117.5649356842041,logs\backtest_results\EUR-USD_20251115_170506,7,-0.04219337068412477,18
17,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,20.0,20.0,1.6,0.85,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,118.36998081207275,logs\backtest_results\EUR-USD_20251115_170506,7,-0.04219337068412477,19
21,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,True,25.0,15.0,1.0,1.0,1.0,1.0,0.75,1.25,0.67,1.33,-1781.18,-0.04219337068412477,0.34868421052631576,0.0,152,201.3379245283019,-125.77868686868692,0.0,-11.71828947368426,8374,completed,,117.90287375450134,logs\backtest_results\EUR-USD_20251115_170507,7,-0.04219337068412477,20
