run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
2286,42,270,0.35,35,50,25,12,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,22.168497800827026,logs\backtest_results\EUR-USD_20251022_212157_268730,2,0.42848480966172237,19
2287,42,270,0.35,35,50,25,14,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,22.568769216537476,logs\backtest_results\EUR-USD_20251022_212157_758848,2,0.42848480966172237,20
2288,42,270,0.35,35,50,25,16,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,22.549548864364624,logs\backtest_results\EUR-USD_20251022_212159_103609,2,0.42848480966172237,21
2289,42,270,0.35,35,50,25,18,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,22.20346760749817,logs\backtest_results\EUR-USD_20251022_212204_138983,2,0.42848480966172237,22
2290,42,270,0.35,35,50,28,4,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.960986614227295,logs\backtest_results\EUR-USD_20251022_212204_325262,2,0.42848480966172237,23
2291,42,270,0.35,35,50,28,8,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.9519464969635,logs\backtest_results\EUR-USD_20251022_212211_161657,2,0.42848480966172237,24
2292,42,270,0.35,35,50,28,10,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,22.114275217056274,logs\backtest_results\EUR-USD_20251022_212211_601490,2,0.42848480966172237,25
2293,42,270,0.35,35,50,28,12,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.586300134658813,logs\backtest_results\EUR-USD_20251022_212218_297969,2,0.42848480966172237,26
2294,42,270,0.35,35,50,28,14,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.501742839813232,logs\backtest_results\EUR-USD_20251022_212218_781742,2,0.42848480966172237,27
2295,42,270,0.35,35,50,28,16,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.588515043258667,logs\backtest_results\EUR-USD_20251022_212219_431326,2,0.42848480966172237,28
2296,42,270,0.35,35,50,28,18,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.553230047225952,logs\backtest_results\EUR-USD_20251022_212220_762275,2,0.42848480966172237,29
2297,42,270,0.35,35,50,32,4,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.34040641784668,logs\backtest_results\EUR-USD_20251022_212225_510329,2,0.42848480966172237,30
2298,42,270,0.35,35,50,32,8,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.96345353126526,logs\backtest_results\EUR-USD_20251022_212226_325960,2,0.42848480966172237,31
2299,42,270,0.35,35,50,32,10,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.346437692642212,logs\backtest_results\EUR-USD_20251022_212232_640532,2,0.42848480966172237,32
2300,42,270,0.35,35,50,32,12,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.36965847015381,logs\backtest_results\EUR-USD_20251022_212233_005333,2,0.42848480966172237,33
2301,42,270,0.35,35,50,32,14,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.266225337982178,logs\backtest_results\EUR-USD_20251022_212239_671816,2,0.42848480966172237,34
2302,42,270,0.35,35,50,32,16,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.169248342514038,logs\backtest_results\EUR-USD_20251022_212240_069731,2,0.42848480966172237,35
2303,42,270,0.35,35,50,32,18,True,14,True,14,3,30,70,9942.84,0.42848480966172237,0.6271186440677966,0.0,59,494.89,-356.69,0.0,168.52271186440686,242,completed,,21.70098638534546,logs\backtest_results\EUR-USD_20251022_212241_139762,2,0.42848480966172237,36
2206,42,270,0.35,35,40,5,4,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.47101616859436,logs\backtest_results\EUR-USD_20251022_211923_438208,2,0.35888897674595704,37
2213,42,270,0.35,35,40,10,4,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.3961124420166,logs\backtest_results\EUR-USD_20251022_211925_249630,2,0.35888897674595704,38
2214,42,270,0.35,35,40,10,8,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.75672173500061,logs\backtest_results\EUR-USD_20251022_211925_836482,2,0.35888897674595704,39
2221,42,270,0.35,35,40,15,8,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.433473348617554,logs\backtest_results\EUR-USD_20251022_211935_047917,2,0.35888897674595704,40
2220,42,270,0.35,35,40,15,4,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.89693331718445,logs\backtest_results\EUR-USD_20251022_211935_308552,2,0.35888897674595704,41
2223,42,270,0.35,35,40,15,12,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.47519826889038,logs\backtest_results\EUR-USD_20251022_211944_419268,2,0.35888897674595704,42
2222,42,270,0.35,35,40,15,10,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.830745220184326,logs\backtest_results\EUR-USD_20251022_211944_683981,2,0.35888897674595704,43
2224,42,270,0.35,35,40,15,14,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.474763870239258,logs\backtest_results\EUR-USD_20251022_211944_915725,2,0.35888897674595704,44
2227,42,270,0.35,35,40,22,4,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.52041721343994,logs\backtest_results\EUR-USD_20251022_211946_774521,2,0.35888897674595704,45
2228,42,270,0.35,35,40,22,8,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.687801361083984,logs\backtest_results\EUR-USD_20251022_211947_495851,2,0.35888897674595704,46
2229,42,270,0.35,35,40,22,10,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.986388206481934,logs\backtest_results\EUR-USD_20251022_211947_816791,2,0.35888897674595704,47
2230,42,270,0.35,35,40,22,12,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,22.188053131103516,logs\backtest_results\EUR-USD_20251022_211957_147911,2,0.35888897674595704,48
2231,42,270,0.35,35,40,22,14,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,22.074272871017456,logs\backtest_results\EUR-USD_20251022_211957_369307,2,0.35888897674595704,49
2232,42,270,0.35,35,40,22,16,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.308685302734375,logs\backtest_results\EUR-USD_20251022_212005_781724,2,0.35888897674595704,50
2234,42,270,0.35,35,40,25,4,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.146809101104736,logs\backtest_results\EUR-USD_20251022_212006_117493,2,0.35888897674595704,51
2233,42,270,0.35,35,40,22,18,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.40045428276062,logs\backtest_results\EUR-USD_20251022_212006_140658,2,0.35888897674595704,52
2235,42,270,0.35,35,40,25,8,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.533520460128784,logs\backtest_results\EUR-USD_20251022_212008_319022,2,0.35888897674595704,53
2236,42,270,0.35,35,40,25,10,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.907121658325195,logs\backtest_results\EUR-USD_20251022_212009_223757,2,0.35888897674595704,54
2237,42,270,0.35,35,40,25,12,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,22.06172227859497,logs\backtest_results\EUR-USD_20251022_212009_735109,2,0.35888897674595704,55
2238,42,270,0.35,35,40,25,14,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.866531372070312,logs\backtest_results\EUR-USD_20251022_212019_094910,2,0.35888897674595704,56
2239,42,270,0.35,35,40,25,16,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.714016437530518,logs\backtest_results\EUR-USD_20251022_212019_151051,2,0.35888897674595704,57
2240,42,270,0.35,35,40,25,18,True,14,True,14,3,30,70,7333.66,0.35888897674595704,0.65,0.0,60,394.89,-356.69,0.0,122.22766666666665,241,completed,,21.227500438690186,logs\backtest_results\EUR-USD_20251022_212027_049302,2,0.35888897674595704,58
