run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
83,20,50,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-1541.76,-0.004,0.4117647058823529,0.0,323,494.78142857142865,-354.4615263157894,0.0,-4.773250773993759,145515,completed,,184.44145560264587,logs\backtest_results\EUR-USD_20251105_104659_953832,8,-0.004,44
27,20,200,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2368.57,-0.005,0.41009463722397477,0.0,317,494.5518461538461,-356.47224598930467,0.0,-7.471829652996779,325381,completed,,279.3508098125458,logs\backtest_results\EUR-USD_20251105_103057_686058,7,-0.005,45
143,10,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-1364.64,-0.005,0.4095744680851064,0.0,188,495.19701298701324,-355.8090990990993,0.0,-7.258723404255345,11616,completed,,110.54964828491211,logs\backtest_results\EUR-USD_20251105_105713_524926,6,-0.005,46
140,10,200,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-1610.43,-0.007,0.3136094674556213,0.0,169,743.8311320754719,-353.73689655172444,0.0,-9.529171597633248,17123,completed,,110.37633275985718,logs\backtest_results\EUR-USD_20251105_105704_519743,11,-0.007,47
103,30,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-2289.5,-0.008,0.4084967320261438,0.0,306,494.71416000000016,-354.30259668508273,0.0,-7.482026143790703,135447,completed,,174.21229815483093,logs\backtest_results\EUR-USD_20251105_105107_564233,8,-0.008,48
35,30,50,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-3400.64,-0.011,0.40588235294117647,0.0,340,494.53985507246375,-354.6888118811878,0.0,-10.001882352940981,406642,completed,,292.9571852684021,logs\backtest_results\EUR-USD_20251105_103540_653660,9,-0.011,49
89,20,200,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-3405.85,-0.012,0.32891246684350134,0.0,377,494.9748387096775,-256.0582213438737,0.0,-9.034084880636717,121255,completed,,177.46365213394165,logs\backtest_results\EUR-USD_20251105_104816_114783,12,-0.012,50
238,30,270,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-1708.95,-0.012,0.24342105263157895,0.0,152,745.1529729729731,-254.605304347826,0.0,-11.243092105263049,6166,completed,,102.88523268699646,logs\backtest_results\EUR-USD_20251105_110821_672150,18,-0.012,51
228,30,50,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-3423.63,-0.015,0.3065326633165829,0.0,199,744.5765573770489,-353.9333333333333,0.0,-17.204170854271414,18032,completed,,108.82211542129517,logs\backtest_results\EUR-USD_20251105_110745_710075,17,-0.015,52
207,10,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-2177.69,-0.016,0.4044943820224719,0.0,178,494.52000000000015,-356.4446226415094,0.0,-12.23421348314598,6669,completed,,100.51885461807251,logs\backtest_results\EUR-USD_20251105_110450_899411,6,-0.016,53
232,30,100,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-2498.26,-0.017,0.3081761006289308,0.0,159,743.9491836734694,-354.107,0.0,-15.712327044025193,14926,completed,,108.41762018203735,logs\backtest_results\EUR-USD_20251105_110748_610554,14,-0.017,54
70,10,100,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-3540.65,-0.018,0.24496644295302014,0.0,298,741.8132876712326,-256.41342222222204,0.0,-11.881375838926083,140812,completed,,168.64209485054016,logs\backtest_results\EUR-USD_20251105_104351_625002,17,-0.018,55
172,30,200,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-2258.28,-0.018,0.3096774193548387,0.0,155,745.553125,-355.55915887850483,0.0,-14.569548387096864,16130,completed,,109.46022915840149,logs\backtest_results\EUR-USD_20251105_110050_386663,13,-0.018,56
159,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-2442.01,-0.02,0.40217391304347827,0.0,184,495.78162162162187,-355.7259090909092,0.0,-13.271793478260856,11053,completed,,108.82835054397583,logs\backtest_results\EUR-USD_20251105_105903_185641,7,-0.02,57
194,10,50,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-3606.95,-0.021,0.2423076923076923,0.0,260,744.9685714285713,-256.54807106598975,0.0,-13.872884615384566,17716,completed,,102.2236180305481,logs\backtest_results\EUR-USD_20251105_110310_883613,15,-0.021,58
73,10,200,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-4957.88,-0.022,0.3236842105263158,0.0,380,495.2545528455286,-256.31980544747097,0.0,-13.047052631579005,122285,completed,,166.89557671546936,logs\backtest_results\EUR-USD_20251105_104358_731522,12,-0.022,59
90,20,200,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-4535.27,-0.022,0.24092409240924093,0.0,303,745.479315068493,-256.3272173913042,0.0,-14.967887788778821,129449,completed,,180.4871265888214,logs\backtest_results\EUR-USD_20251105_104820_916701,15,-0.022,60
115,42,50,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,2-MINUTE-MID-EXTERNAL,-3709.63,-0.023,0.40268456375838924,0.0,298,494.2334999999999,-354.03174157303374,0.0,-12.44842281879203,143315,completed,,160.73388767242432,logs\backtest_results\EUR-USD_20251105_105252_233280,11,-0.023,61
130,10,50,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-4679.52,-0.023,0.23897058823529413,0.0,272,745.1095384615384,-256.57797101449296,0.0,-17.204117647058997,25504,completed,,132.2417347431183,logs\backtest_results\EUR-USD_20251105_105509_754035,17,-0.023,62
173,30,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-2775.23,-0.023,0.32456140350877194,0.0,228,494.94445945945995,-255.85142857142867,0.0,-12.172061403508678,8182,completed,,110.75343108177185,logs\backtest_results\EUR-USD_20251105_110053_021019,8,-0.023,63
26,20,200,0.35,25,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-4401.11,-0.024,0.24193548387096775,0.0,310,744.5229333333331,-256.34182978723396,0.0,-14.197129032258072,322437,completed,,277.50073981285095,logs\backtest_results\EUR-USD_20251105_103055_436498,18,-0.024,64
