run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
23,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,100,False,2-MINUTE-MID-EXTERNAL,pullback,10,632.01,0.437,0.6666666666666666,0.0,3,494.33000000000004,-356.65,0.0,210.67000000000002,196,completed,,14.489003658294678,logs\backtest_results\EUR-USD_20251103_201218_945580,1,0.437,14
24,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,100,False,2-MINUTE-MID-EXTERNAL,pullback,15,632.01,0.437,0.6666666666666666,0.0,3,494.33000000000004,-356.65,0.0,210.67000000000002,196,completed,,14.211286306381226,logs\backtest_results\EUR-USD_20251103_201233_212476,1,0.437,15
10,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,5,770.71,0.328,0.6,0.0,5,494.49666666666667,-356.39,0.0,154.14199999999997,193,completed,,14.3898344039917,logs\backtest_results\EUR-USD_20251103_200901_403641,1,0.328,16
11,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,10,770.71,0.328,0.6,0.0,5,494.49666666666667,-356.39,0.0,154.14199999999997,193,completed,,14.587030410766602,logs\backtest_results\EUR-USD_20251103_200916_013619,1,0.328,17
12,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,15,770.71,0.328,0.6,0.0,5,494.49666666666667,-356.39,0.0,154.14199999999997,193,completed,,14.481112241744995,logs\backtest_results\EUR-USD_20251103_200930_531180,1,0.328,18
16,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,5,1184.33,0.27,0.5454545454545454,0.0,11,494.56333333333333,-356.61,0.0,107.66636363636358,226,completed,,15.125470399856567,logs\backtest_results\EUR-USD_20251103_201034_119793,2,0.27,19
17,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,10,1184.33,0.27,0.5454545454545454,0.0,11,494.56333333333333,-356.61,0.0,107.66636363636358,226,completed,,15.23964238166809,logs\backtest_results\EUR-USD_20251103_201049_384429,2,0.27,20
18,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,15,1184.33,0.27,0.5454545454545454,0.0,11,494.56333333333333,-356.61,0.0,107.66636363636358,226,completed,,14.41598653793335,logs\backtest_results\EUR-USD_20251103_201103_795574,2,0.27,21
25,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,5,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.890213012695312,logs\backtest_results\EUR-USD_20251103_201249_009574,6,0.103,22
26,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,10,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,16.134344816207886,logs\backtest_results\EUR-USD_20251103_201305_152901,6,0.103,23
27,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,15,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.4866361618042,logs\backtest_results\EUR-USD_20251103_201320_750627,6,0.103,24
31,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,5,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.436809301376343,logs\backtest_results\EUR-USD_20251103_201420_908038,6,0.103,25
32,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,10,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.909534454345703,logs\backtest_results\EUR-USD_20251103_201436_897747,6,0.103,26
33,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,15,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,20.18319058418274,logs\backtest_results\EUR-USD_20251103_201457_031816,6,0.103,27
37,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,5,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,18.317013025283813,logs\backtest_results\EUR-USD_20251103_201608_984638,6,0.103,28
38,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,10,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.6313157081604,logs\backtest_results\EUR-USD_20251103_201624_638597,6,0.103,29
39,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,15,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.740414381027222,logs\backtest_results\EUR-USD_20251103_201640_422389,6,0.103,30
43,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,5,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.433482885360718,logs\backtest_results\EUR-USD_20251103_201740_282534,6,0.103,31
44,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,10,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.345241069793701,logs\backtest_results\EUR-USD_20251103_201755_636789,6,0.103,32
45,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,15,2580.73,0.103,0.4444444444444444,0.0,72,481.8096875,-320.9295,0.0,35.84347222222219,3623,completed,,15.158765077590942,logs\backtest_results\EUR-USD_20251103_201810_885973,6,0.103,33
7,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,5,-80.3,-0.019,0.4,0.0,5,494.57,-356.48,0.0,-16.06,410,completed,,15.239645719528198,logs\backtest_results\EUR-USD_20251103_200815_957200,2,-0.019,34
8,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,10,-80.3,-0.019,0.4,0.0,5,494.57,-356.48,0.0,-16.06,410,completed,,15.032517910003662,logs\backtest_results\EUR-USD_20251103_200830_979202,2,-0.019,35
9,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,100,True,2-MINUTE-MID-EXTERNAL,pullback,15,-80.3,-0.019,0.4,0.0,5,494.57,-356.48,0.0,-16.06,410,completed,,16.007160425186157,logs\backtest_results\EUR-USD_20251103_200847_035729,2,-0.019,36
1,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,5,-378.76,-0.072,0.38461538461538464,0.0,13,494.474,-356.39125,0.0,-29.13538461538464,401,completed,,15.628070592880249,logs\backtest_results\EUR-USD_20251103_200647_576335,4,-0.072,37
2,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,10,-378.76,-0.072,0.38461538461538464,0.0,13,494.474,-356.39125,0.0,-29.13538461538464,401,completed,,14.969796895980835,logs\backtest_results\EUR-USD_20251103_200702_593300,4,-0.072,38
3,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,True,2-MINUTE-MID-EXTERNAL,pullback,15,-378.76,-0.072,0.38461538461538464,0.0,13,494.474,-356.39125,0.0,-29.13538461538464,401,completed,,14.81661081314087,logs\backtest_results\EUR-USD_20251103_200717_445677,4,-0.072,39
4,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,5,-378.76,-0.072,0.38461538461538464,0.0,13,494.46999999999997,-356.38875,0.0,-29.135384615384638,196,completed,,14.055840492248535,logs\backtest_results\EUR-USD_20251103_200731_460899,3,-0.072,40
5,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,10,-378.76,-0.072,0.38461538461538464,0.0,13,494.46999999999997,-356.38875,0.0,-29.135384615384638,196,completed,,14.616343975067139,logs\backtest_results\EUR-USD_20251103_200746_130342,3,-0.072,41
6,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,15,-378.76,-0.072,0.38461538461538464,0.0,13,494.46999999999997,-356.38875,0.0,-29.135384615384638,196,completed,,14.529761552810669,logs\backtest_results\EUR-USD_20251103_200800_613005,3,-0.072,42
13,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,5,-517.74,-0.072,0.36363636363636365,0.0,11,494.64,-356.61428571428576,0.0,-47.06727272727276,691,completed,,17.9914128780365,logs\backtest_results\EUR-USD_20251103_200948_450002,4,-0.072,43
14,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,10,-517.74,-0.072,0.36363636363636365,0.0,11,494.64,-356.61428571428576,0.0,-47.06727272727276,691,completed,,15.517369985580444,logs\backtest_results\EUR-USD_20251103_201004_005916,4,-0.072,44
15,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,50,True,2-MINUTE-MID-EXTERNAL,pullback,15,-517.74,-0.072,0.36363636363636365,0.0,11,494.64,-356.61428571428576,0.0,-47.06727272727276,691,completed,,14.90510106086731,logs\backtest_results\EUR-USD_20251103_201019_012883,4,-0.072,45
19,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,5,-219.01,-0.141,0.3333333333333333,0.0,3,494.31,-356.65999999999997,0.0,-73.00333333333334,537,completed,,15.093423843383789,logs\backtest_results\EUR-USD_20251103_201118_922216,2,-0.141,46
20,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,10,-219.01,-0.141,0.3333333333333333,0.0,3,494.31,-356.65999999999997,0.0,-73.00333333333334,537,completed,,15.740533828735352,logs\backtest_results\EUR-USD_20251103_201134_608686,2,-0.141,47
21,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,True,1-DAY-MID-EXTERNAL,30,100,True,2-MINUTE-MID-EXTERNAL,pullback,15,-219.01,-0.141,0.3333333333333333,0.0,3,494.31,-356.65999999999997,0.0,-73.00333333333334,537,completed,,14.998980283737183,logs\backtest_results\EUR-USD_20251103_201149_690557,2,-0.141,48
