entry_weekday,pnl,trades,win_rate
Monday,4143.29,475,62.32
Tuesday,2514.77,371,62.8
Wednesday,4743.11,341,63.93
Thursday,4630.59,384,64.84
Friday,3482.91,238,62.18
Sunday,2889.23,158,66.46
