hour_EST,pnl,trades,win_rate
0,1245.88,40,67.5
1,658.72,35,60.0
2,-27.45,30,53.33
3,1441.7,79,60.76
4,2373.91,51,64.71
5,1146.3,40,60.0
6,1589.59,65,58.46
7,-336.46,29,48.28
8,923.26,52,53.85
9,2878.7,40,67.5
10,1991.47,51,60.78
11,3992.67,43,74.42
12,905.78,50,56.0
13,465.68,33,57.58
14,198.58,21,52.38
15,1605.65,26,76.92
16,2969.87,70,67.14
17,1370.04,47,63.83
18,992.46,74,56.76
19,2051.66,65,69.23
20,612.94,40,60.0
21,-307.84,35,57.14
22,937.71,74,55.41
23,1164.63,42,66.67
