timestamp_ns,delivery_count
1769125500000000000,4
1769126400000000000,4
1769127300000000000,4
1769128200000000000,4
1769129100000000000,4
1769130000000000000,4
1769130900000000000,4
1769131800000000000,4
1769132700000000000,4
1769133600000000000,4
1769134500000000000,4
1769135400000000000,4
1769136300000000000,4
1769137200000000000,4
1769138100000000000,4
1769139000000000000,4
1769139900000000000,4
1769140800000000000,4
1769141700000000000,4
1769142600000000000,4
1769143500000000000,4
1769144400000000000,2
1769145300000000000,2
1769146200000000000,2
1769147100000000000,2
1769148000000000000,2
1769148900000000000,2
1769149800000000000,2
1769150700000000000,2
1769151600000000000,2
1769152500000000000,2
1769153400000000000,2
1769154300000000000,2
1769155200000000000,2
1769156100000000000,2
1769157000000000000,2
1769157900000000000,2
1769158800000000000,2
1769159700000000000,2
1769160600000000000,2
1769161500000000000,2
1769162400000000000,2
1769163300000000000,2
1769164200000000000,2
1769165100000000000,2
1769166000000000000,2
1769166900000000000,2
1769167800000000000,2
1769168700000000000,2
1769169600000000000,2
1769170500000000000,2
1769171400000000000,2
1769172300000000000,2
1769173200000000000,2
1769174100000000000,2
1769175000000000000,2
1769175900000000000,2
1769176800000000000,2
1769177700000000000,2
1769178600000000000,2
1769179500000000000,2
1769180400000000000,2
1769181300000000000,2
1769182200000000000,2
1769183100000000000,2
1769184000000000000,2
1769184900000000000,2
1769185800000000000,2
1769186700000000000,2
1769187600000000000,2
1769188500000000000,2
1769189400000000000,2
1769190300000000000,2
1769191200000000000,2
1769192100000000000,2
1769193000000000000,2
1769193900000000000,2
1769194800000000000,2
1769195700000000000,2
1769196600000000000,2
1769197500000000000,2
1769198400000000000,2
1769199300000000000,2
1769200200000000000,2
1769201100000000000,2
1769202000000000000,2
1769202900000000000,2
1769203800000000000,2
1769204700000000000,2
1769379300000000000,2
1769380200000000000,2
1769381100000000000,2
1769382000000000000,2
1769382900000000000,2
1769383800000000000,2
1769384700000000000,2
1769385600000000000,2
1769386500000000000,2
1769387400000000000,2
1769388300000000000,2
1769389200000000000,2
1769390100000000000,2
1769391000000000000,2
1769391900000000000,2
1769392800000000000,2
1769393700000000000,2
1769394600000000000,2
1769395500000000000,2
1769396400000000000,2
1769397300000000000,2
1769398200000000000,2
1769399100000000000,2
1769400000000000000,2
1769400900000000000,2
1769401800000000000,2
1769402700000000000,2
1769403600000000000,2
1769404500000000000,2
1769405400000000000,2
1769406300000000000,2
1769407200000000000,2
1769408100000000000,2
1769409000000000000,2
1769409900000000000,2
1769410800000000000,2
1769411700000000000,2
1769412600000000000,2
1769413500000000000,2
1769414400000000000,2
1769415300000000000,2
1769416200000000000,2
1769417100000000000,2
1769418000000000000,2
1769418900000000000,2
1769419800000000000,2
1769420700000000000,2
1769421600000000000,2
1769422500000000000,2
1769423400000000000,2
1769424300000000000,2
1769425200000000000,2
1769426100000000000,2
1769427000000000000,2
1769427900000000000,2
1769428800000000000,2
1769429700000000000,2
1769430600000000000,2
1769431500000000000,2
1769432400000000000,2
1769433300000000000,2
1769434200000000000,2
1769435100000000000,2
1769436000000000000,2
1769436900000000000,2
1769437800000000000,2
1769438700000000000,2
1769439600000000000,2
1769440500000000000,2
1769441400000000000,2
1769442300000000000,2
1769443200000000000,2
1769444100000000000,2
1769445000000000000,2
1769445900000000000,2
1769446800000000000,2
1769447700000000000,2
1769448600000000000,2
1769449500000000000,2
1769450400000000000,2
1769451300000000000,2
1769452200000000000,2
1769453100000000000,2
1769454000000000000,2
1769454900000000000,2
1769455800000000000,2
1769456700000000000,2
1769457600000000000,2
1769458500000000000,2
1769459400000000000,2
1769460300000000000,2
1769461200000000000,2
1769462100000000000,2
1769463000000000000,2
1769463900000000000,2
1769465700000000000,2
1769466600000000000,2
1769467500000000000,2
1769468400000000000,2
1769469300000000000,2
1769470200000000000,2
