timestamp,open,close,high,low,adx,dmp,dmn
2026-02-19 04:00:00+00:00,1.17907,1.17864,1.17917,1.17854,,,
2026-02-19 04:30:00+00:00,1.17864,1.17895,1.17904,1.17849,,,
2026-02-19 05:00:00+00:00,1.17895,1.17901,1.17907,1.17867,,,
2026-02-19 05:30:00+00:00,1.17901,1.17917,1.17929,1.17898,,,
2026-02-19 06:00:00+00:00,1.17917,1.17986,1.1799,1.179,,,
2026-02-19 06:30:00+00:00,1.17986,1.17983,1.18009,1.17965,,,
2026-02-19 07:00:00+00:00,1.17983,1.17949,1.17983,1.17928,,,
2026-02-19 07:30:00+00:00,1.17949,1.18007,1.18036,1.17948,,,
2026-02-19 08:00:00+00:00,1.18007,1.17981,1.18044,1.17974,,,
2026-02-19 08:30:00+00:00,1.17981,1.18013,1.18052,1.17978,,,
2026-02-19 09:00:00+00:00,1.18013,1.18013,1.18077,1.18003,,,
2026-02-19 09:30:00+00:00,1.18013,1.18,1.18043,1.17986,,,
2026-02-19 10:00:00+00:00,1.18,1.17902,1.18032,1.17901,,,
2026-02-19 10:30:00+00:00,1.17902,1.17891,1.1795,1.17874,0.18002581792682368,,0.12494952597360573
2026-02-19 11:00:00+00:00,1.17891,1.17816,1.17904,1.17812,0.19097285545240297,,0.11318355218694066
2026-02-19 11:30:00+00:00,1.17816,1.17807,1.17823,1.17767,0.2072084364921483,0.19361712720948596,0.10660321070273034
2026-02-19 12:00:00+00:00,1.17807,1.17748,1.17807,1.1772,0.22749487911351707,0.20923386728296,0.09715308438082496
2026-02-19 12:30:00+00:00,1.17748,1.17695,1.17799,1.1767,0.25089740969060464,0.22905292309137645,0.0851059830720377
2026-02-19 13:00:00+00:00,1.17695,1.17605,1.17701,1.17522,0.2817142552894349,0.25460456720147595,0.07180125484063997
2026-02-19 13:30:00+00:00,1.17605,1.17655,1.17657,1.17515,0.3106556214754806,0.2807765155830426,0.0633415605203196
2026-02-19 14:00:00+00:00,1.17655,1.17487,1.17664,1.17421,0.3413744488101109,0.3115443520497729,0.05204162216539812
2026-02-19 14:30:00+00:00,1.17487,1.17518,1.17534,1.17447,0.3698990741922677,0.34027734783387414,0.048692384109654416
2026-02-19 15:00:00+00:00,1.17518,1.17651,1.17728,1.17483,0.36013942531040316,0.350756937060257,0.17005026268964968
2026-02-19 15:30:00+00:00,1.17651,1.1763,1.17755,1.17606,0.34738906499919364,0.3586440695957307,0.1711283354106294
2026-02-19 16:00:00+00:00,1.1763,1.1764,1.17692,1.17582,0.3378017620139368,0.3489705936621699,0.15892044277364215
2026-02-19 16:30:00+00:00,1.1764,1.17613,1.17708,1.17592,0.3265666393286268,0.33697785216391024,0.15734741283335996
2026-02-19 17:00:00+00:00,1.17613,1.17654,1.17661,1.17561,0.31924690502792347,0.32852433352093013,0.14711186287535757
2026-02-19 17:30:00+00:00,1.17654,1.17659,1.1768,1.17613,0.3094850006730525,0.3180258200008397,0.15323013257981954
2026-02-19 18:00:00+00:00,1.17659,1.17701,1.17718,1.17648,0.2946707148035001,0.3069588099157118,0.1719401977239253
2026-02-19 18:30:00+00:00,1.17701,1.17684,1.17742,1.17678,0.2774313469569205,0.2934581738149865,0.18110774831100468
2026-02-19 19:00:00+00:00,1.17684,1.17684,1.17718,1.17658,0.26400600066661556,0.27933835773505783,0.17321252169088683
2026-02-19 19:30:00+00:00,1.17684,1.17639,1.17694,1.1759,0.2595189762348177,0.2684751615958691,0.1601779414635872
2026-02-19 20:00:00+00:00,1.17639,1.17663,1.17683,1.17633,0.2553524535481482,0.25967922710738184,0.15417115438590462
2026-02-19 20:30:00+00:00,1.17663,1.17688,1.17689,1.17636,0.2504196874061014,0.2549693318204595,0.15248955048405224
2026-02-19 21:00:00+00:00,1.17688,1.17727,1.17742,1.1768,0.2368990343966527,0.24612574397240045,0.18702622746783448
