timestamp,open,high,low,close,volume,hl2
2026-01-22 23:45:00+00:00,1.17545,1.1755,1.17534,1.17539,0.0,1.17542
2026-01-23 00:00:00+00:00,1.17539,1.17539,1.1749,1.1749,0.0,1.175145
2026-01-23 00:15:00+00:00,1.1749,1.17517,1.1749,1.17514,0.0,1.175035
2026-01-23 00:30:00+00:00,1.17514,1.17525,1.17488,1.17494,0.0,1.175065
2026-01-23 00:45:00+00:00,1.17494,1.17501,1.17481,1.17481,0.0,1.1749100000000001
2026-01-23 01:00:00+00:00,1.17481,1.17496,1.17471,1.17479,0.0,1.1748349999999999
2026-01-23 01:15:00+00:00,1.17479,1.17538,1.17478,1.17515,0.0,1.17508
2026-01-23 01:30:00+00:00,1.17515,1.17519,1.1749,1.17499,0.0,1.175045
2026-01-23 01:45:00+00:00,1.17499,1.17525,1.17479,1.17494,0.0,1.17502
2026-01-23 02:00:00+00:00,1.17494,1.17501,1.17464,1.17485,0.0,1.174825
2026-01-23 02:15:00+00:00,1.17485,1.17491,1.1748,1.17483,0.0,1.174855
2026-01-23 02:30:00+00:00,1.17483,1.175,1.17441,1.17451,0.0,1.1747049999999999
2026-01-23 02:45:00+00:00,1.17451,1.17473,1.17446,1.17455,0.0,1.174595
2026-01-23 03:00:00+00:00,1.17455,1.17488,1.17454,1.17468,0.0,1.17471
2026-01-23 03:15:00+00:00,1.17468,1.1748,1.17446,1.17447,0.0,1.17463
2026-01-23 03:30:00+00:00,1.17447,1.17456,1.17438,1.1745,0.0,1.17447
2026-01-23 03:45:00+00:00,1.1745,1.17466,1.17437,1.17437,0.0,1.174515
2026-01-23 04:00:00+00:00,1.17437,1.1745,1.17431,1.1745,0.0,1.1744050000000001
2026-01-23 04:15:00+00:00,1.1745,1.17464,1.17447,1.1745,0.0,1.1745549999999998
2026-01-23 04:30:00+00:00,1.1745,1.17484,1.17447,1.17484,0.0,1.174655
2026-01-23 04:45:00+00:00,1.17484,1.17511,1.17473,1.175,0.0,1.1749200000000002
2026-01-23 05:00:00+00:00,1.175,1.17523,1.175,1.17512,0.0,1.175115
2026-01-23 05:15:00+00:00,1.17512,1.17541,1.17504,1.17508,0.0,1.1752250000000002
2026-01-23 05:30:00+00:00,1.17508,1.17525,1.17507,1.17524,0.0,1.17516
2026-01-23 05:45:00+00:00,1.17524,1.17525,1.17498,1.17511,0.0,1.175115
2026-01-23 06:00:00+00:00,1.17511,1.17531,1.17469,1.17477,0.0,1.175
2026-01-23 06:15:00+00:00,1.17477,1.1748,1.17437,1.17438,0.0,1.174585
2026-01-23 06:30:00+00:00,1.17438,1.17481,1.17438,1.17446,0.0,1.174595
2026-01-23 06:45:00+00:00,1.17446,1.17464,1.17416,1.17422,0.0,1.1743999999999999
2026-01-23 07:00:00+00:00,1.17422,1.17447,1.17408,1.17423,0.0,1.174275
2026-01-23 07:15:00+00:00,1.17423,1.17424,1.17357,1.17369,0.0,1.173905
2026-01-23 07:30:00+00:00,1.17369,1.17467,1.17349,1.17431,0.0,1.17408
2026-01-23 07:45:00+00:00,1.17431,1.17475,1.17352,1.17362,0.0,1.174135
2026-01-23 08:00:00+00:00,1.17362,1.17397,1.17316,1.17352,0.0,1.173565
2026-01-23 08:15:00+00:00,1.17352,1.17354,1.17284,1.17312,0.0,1.17319
2026-01-23 08:30:00+00:00,1.17312,1.17453,1.17312,1.17452,0.0,1.173825
2026-01-23 08:45:00+00:00,1.17452,1.17453,1.17395,1.17401,0.0,1.1742400000000002
2026-01-23 09:00:00+00:00,1.17401,1.17436,1.17363,1.17382,0.0,1.1739950000000001
2026-01-23 09:15:00+00:00,1.17382,1.1744,1.17365,1.17413,0.0,1.174025
2026-01-23 09:30:00+00:00,1.17413,1.17453,1.17386,1.17419,0.0,1.174195
2026-01-23 09:45:00+00:00,1.17419,1.17429,1.17351,1.17354,0.0,1.1739000000000002
2026-01-23 10:00:00+00:00,1.17354,1.17361,1.17314,1.17314,0.0,1.173375
2026-01-23 10:15:00+00:00,1.17314,1.17332,1.17301,1.17319,0.0,1.173165
2026-01-23 10:30:00+00:00,1.17319,1.17349,1.17311,1.17317,0.0,1.1733
2026-01-23 10:45:00+00:00,1.17317,1.17359,1.17308,1.17346,0.0,1.1733349999999998
2026-01-23 11:00:00+00:00,1.17346,1.17358,1.17308,1.17349,0.0,1.17333
2026-01-23 11:15:00+00:00,1.17349,1.17386,1.17333,1.17369,0.0,1.173595
2026-01-23 11:30:00+00:00,1.17369,1.17389,1.17358,1.1737,0.0,1.1737350000000002
2026-01-23 11:45:00+00:00,1.1737,1.17406,1.17355,1.17375,0.0,1.1738050000000002
2026-01-23 12:00:00+00:00,1.17375,1.17396,1.17367,1.17382,0.0,1.1738149999999998
2026-01-23 12:15:00+00:00,1.17382,1.17396,1.17374,1.17389,0.0,1.1738499999999998
2026-01-23 12:30:00+00:00,1.17389,1.17433,1.17379,1.174,0.0,1.1740599999999999
2026-01-23 12:45:00+00:00,1.174,1.17443,1.17399,1.17423,0.0,1.17421
2026-01-23 13:00:00+00:00,1.17423,1.17449,1.1741,1.17449,0.0,1.1742949999999999
2026-01-23 13:15:00+00:00,1.17449,1.17473,1.17416,1.17438,0.0,1.174445
2026-01-23 13:30:00+00:00,1.17438,1.17446,1.17385,1.17419,0.0,1.174155
2026-01-23 13:45:00+00:00,1.17419,1.17419,1.17328,1.17342,0.0,1.1737350000000002
2026-01-23 14:00:00+00:00,1.17342,1.17396,1.17319,1.17391,0.0,1.173575
2026-01-23 14:15:00+00:00,1.17391,1.17454,1.17378,1.17444,0.0,1.17416
2026-01-23 14:30:00+00:00,1.17444,1.17454,1.17405,1.17406,0.0,1.1742949999999999
2026-01-23 14:45:00+00:00,1.17406,1.17482,1.17406,1.17466,0.0,1.1744400000000002
2026-01-23 15:00:00+00:00,1.17466,1.17517,1.17458,1.17478,0.0,1.1748750000000001
2026-01-23 15:15:00+00:00,1.17478,1.17537,1.17473,1.17499,0.0,1.1750500000000001
2026-01-23 15:30:00+00:00,1.17499,1.17523,1.17485,1.17492,0.0,1.17504
2026-01-23 15:45:00+00:00,1.17492,1.17614,1.17491,1.17581,0.0,1.175525
2026-01-23 16:00:00+00:00,1.17581,1.17586,1.17471,1.17471,0.0,1.175285
2026-01-23 16:15:00+00:00,1.17471,1.17638,1.17465,1.17637,0.0,1.1755149999999999
2026-01-23 16:30:00+00:00,1.17637,1.17691,1.1763,1.17677,0.0,1.176605
2026-01-23 16:45:00+00:00,1.17677,1.17753,1.17664,1.17707,0.0,1.177085
