entry_weekday,pnl,trades,win_rate
Monday,5717.37,331,68.28
Tuesday,6221.96,251,73.71
Wednesday,5864.8,226,72.12
Thursday,4721.86,249,69.48
Friday,5864.17,163,70.55
Sunday,2473.91,139,67.63
