weekday,total_pnl,avg_pnl,trade_count,std_pnl,wins,losses,win_rate
Monday,2399.54,53.32311111111111,45,154.57442111432368,26,19,57.8
Tuesday,1488.5800000000002,35.44238095238096,42,190.91628612139908,24,18,57.1
Wednesday,432.77,10.555365853658536,41,159.13933985815012,22,19,53.7
Thursday,-917.11,-17.303962264150943,53,107.52428305950284,25,28,47.2
Friday,633.22,15.8305,40,160.4663812693871,24,16,60.0
