entry_weekday,pnl,trades,win_rate
Monday,5234.5,299,62.54
Tuesday,6021.84,226,67.26
Wednesday,4526.83,200,65.5
Thursday,4740.89,223,66.37
Friday,7429.81,156,67.31
Sunday,2751.08,126,65.08
