trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],7095a44d-2d0a-4765-b5f6-eeeef8b87be7,1759407900000000000,1759407900000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],cdcdfeb7-e6c9-4e55-945d-310b7f2b3ddd,1759411920000000000,1759411920000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],ca5ce6d8-10bd-45dd-8582-73c43e584595,1759412340000000000,1759412340000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],63a8858a-c0a6-4a6e-a147-ea5d1772a21e,1759420980000000000,1759420980000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],f38ae76f-3031-4323-871b-01b3182b2553,1759427880000000000,1759427880000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],5679c511-9c9e-47b7-bd22-d722ddbc748a,1759429080000000000,1759429080000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],18fac528-3890-4e95-9dcd-6ad233970c59,1759433760000000000,1759433760000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],c93e8619-7c72-4aee-9457-f40cbfd7fe98,1759435860000000000,1759435860000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],48c6e0f4-0d04-4f10-a5bc-f64e2f61f6e1,1759436280000000000,1759436280000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],71a68133-aae3-4f71-ace6-ccdb74afc001,1759437420000000000,1759437420000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],8b3bc30c-bb7f-4bc5-8dff-bb6374f29b21,1759437840000000000,1759437840000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],e7a4fc4d-ea0b-4c33-854c-ca70ed49e3ef,1759441080000000000,1759441080000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,SELL,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],db38781a-62d3-4b69-a8df-65caab493869,1759443900000000000,1759443900000000000
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,,,IDEALPRO-001,,MARKET,BUY,100000,GTC,False,False,0,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,REJECTED,NO_CONTINGENCY,,,,,,,['MA_CROSS'],21789460-bca0-4233-8513-bbb6549ef1fe,1759444980000000000,1759444980000000000
