entry_weekday,pnl,trades,win_rate
Monday,5437.46,276,58.7
Tuesday,5670.22,198,63.13
Wednesday,4979.06,190,62.11
Thursday,4415.36,208,61.06
Friday,7737.71,146,64.38
Sunday,2605.64,114,59.65
