hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,324.6,313.4,55.6,552.2,0.0
1,391.9,0.0,297.3,0.0,-30.5,0.0
2,-20.2,0.0,0.0,-7.2,0.0,0.0
3,138.7,991.9,-9.3,0.0,320.4,0.0
4,852.8,502.2,1018.9,0.0,0.0,0.0
5,0.0,187.2,0.0,236.0,723.1,0.0
6,587.5,831.1,296.8,-260.0,134.3,0.0
7,-76.1,17.7,-278.1,0.0,0.0,0.0
8,372.9,47.0,0.0,503.4,0.0,0.0
9,305.1,0.0,0.0,151.9,2421.7,0.0
10,869.2,475.8,451.9,194.5,0.0,0.0
11,339.6,0.0,0.0,1764.3,1888.8,0.0
12,0.0,308.0,299.9,0.0,297.8,0.0
13,111.1,354.6,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,198.6,0.0,0.0
15,479.5,0.0,0.0,1126.2,0.0,0.0
16,783.7,409.9,346.5,0.0,1429.9,0.0
17,0.0,0.0,436.7,147.3,0.0,786.1
18,140.2,143.2,426.0,0.0,0.0,282.9
19,132.7,-15.3,229.8,344.6,0.0,1359.8
20,64.0,0.0,549.0,0.0,0.0,0.0
21,9.3,0.0,0.0,-317.2,0.0,0.0
22,-44.4,718.4,0.0,86.9,0.0,176.8
23,0.0,373.9,600.3,190.4,0.0,0.0
