entry_weekday,pnl,trades,win_rate
Monday,4582.04,323,57.89
Tuesday,4649.6,249,61.04
Wednesday,3663.17,219,59.82
Thursday,3564.96,246,62.2
Friday,5217.71,166,59.04
Sunday,2559.21,131,61.83
