hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,217.8,-138.7,181.6,158.7,0.0
1,219.5,0.0,-55.9,0.0,298.5,0.0
2,323.5,0.0,0.0,427.0,0.0,0.0
3,-507.9,607.0,304.3,0.0,-56.7,0.0
4,295.2,-77.3,745.5,0.0,0.0,0.0
5,0.0,497.4,0.0,102.6,1326.8,0.0
6,693.0,545.9,356.3,535.4,14.6,0.0
7,303.5,289.9,251.0,0.0,0.0,0.0
8,943.9,-290.5,0.0,205.7,0.0,0.0
9,166.6,0.0,0.0,1291.7,1737.8,0.0
10,318.5,-129.2,921.1,582.8,0.0,0.0
11,550.5,0.0,0.0,278.9,1058.7,0.0
12,0.0,599.9,1023.9,0.0,496.7,0.0
13,307.6,-245.8,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,255.5,0.0,0.0
15,509.2,0.0,0.0,752.6,0.0,0.0
16,511.3,568.7,38.0,0.0,534.7,0.0
17,0.0,0.0,322.5,47.7,0.0,1278.6
18,385.9,247.0,397.9,0.0,0.0,45.0
19,-173.8,-228.3,333.0,125.0,0.0,1062.3
20,352.4,0.0,141.3,0.0,0.0,0.0
21,347.0,0.0,0.0,-504.9,0.0,0.0
22,-127.3,414.4,0.0,479.1,0.0,387.4
23,0.0,468.9,555.1,252.7,0.0,0.0
