entry_weekday,pnl,trades,win_rate
Monday,5418.6,444,66.67
Tuesday,3485.9,338,67.46
Wednesday,5195.19,323,67.8
Thursday,5013.54,355,68.73
Friday,5569.74,228,69.3
Sunday,2773.27,151,68.21
