hour_EST,pnl,trades,win_rate
0,910.16,60,61.67
1,360.91,62,56.45
2,1022.08,55,63.64
3,356.17,127,56.69
4,1779.22,80,61.25
5,1455.93,64,64.06
6,-430.06,110,51.82
7,1488.17,51,60.78
8,-353.67,82,48.78
9,2853.69,68,61.76
10,1021.44,82,52.44
11,1333.11,72,58.33
12,1084.06,82,58.54
13,-319.53,47,51.06
14,755.7,27,66.67
15,1014.89,42,64.29
16,996.16,109,56.88
17,1044.49,63,57.14
18,1010.83,102,58.82
19,567.01,100,60.0
20,829.36,62,58.06
21,-187.27,55,54.55
22,1962.97,105,60.0
23,1592.61,73,65.75
