entry_month,pnl,trades,win_rate
2025-01,2191.14,168,54.76
2025-02,355.46,137,54.01
2025-03,2401.54,168,54.76
2025-04,8303.75,231,57.14
2025-05,2574.41,172,54.65
2025-06,1481.68,168,55.95
2025-07,619.15,195,49.74
2025-08,38.98,24,45.83
2025-10,518.96,68,51.47
2025-11,-169.7,65,46.15
2025-12,-287.99,35,40.0
