hour_EST,pnl,trades,win_rate
0,1028.5,44,72.73
1,580.06,42,69.05
2,312.89,32,65.62
3,2266.97,90,72.22
4,930.88,59,67.8
5,1159.84,45,68.89
6,1419.21,74,64.86
7,1056.16,33,72.73
8,1587.99,61,67.21
9,2821.75,46,76.09
10,2672.01,55,74.55
11,2916.32,52,76.92
12,1823.17,56,75.0
13,543.18,38,71.05
14,-32.02,22,63.64
15,1285.26,29,79.31
16,1544.96,84,70.24
17,1562.13,58,70.69
18,1546.8,105,69.52
19,1694.22,100,72.0
20,563.11,51,64.71
21,185.86,45,71.11
22,702.98,85,64.71
23,691.84,53,71.7
