entry_weekday,pnl,trades,win_rate
Monday,5932.3,239,53.97
Tuesday,5914.03,183,58.47
Wednesday,5089.06,170,56.47
Thursday,5038.55,188,56.91
Friday,5987.78,134,57.46
Sunday,2931.02,98,57.14
