day_of_week,day_name,trade_count,total_pnl,avg_pnl,std_pnl,winners,win_rate,losers,pnl_if_excluded,pnl_improvement
1,Tuesday,19,3930.67,206.88,393.01,12,63.2,7,8879.22,-3930.67
2,Wednesday,15,3198.0,213.2,366.46,10,66.7,5,9611.89,-3198.0
0,Monday,12,2640.29,220.02,371.62,8,66.7,4,10169.599999999999,-2640.290000000001
3,Thursday,21,2282.21,108.68,388.04,10,47.6,11,10527.68,-2282.209999999999
4,Friday,20,758.72,37.94,402.36,9,45.0,11,12051.17,-758.7199999999993
