hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0,16,20,11,13,0
1,21,0,17,0,24,0
2,22,0,0,33,0,0
3,32,31,28,0,36,0
4,33,23,24,0,0,0
5,0,15,0,21,28,0
6,29,19,25,18,19,0
7,15,20,16,0,0,0
8,29,18,0,35,0,0
9,13,0,0,27,28,0
10,30,21,16,15,0,0
11,21,0,0,24,27,0
12,0,32,28,0,22,0
13,28,19,0,0,0,0
14,0,0,0,27,0,0
15,25,0,0,17,0,0
16,20,31,32,0,26,0
17,0,0,12,22,0,29
18,18,23,8,0,0,53
19,8,16,23,24,0,29
20,29,0,33,0,0,0
21,28,0,0,27,0,0
22,27,29,0,20,0,29
23,0,23,27,23,0,0
