entry_month,pnl,trades,win_rate
2025-01,1075.58,205,54.15
2025-02,399.76,172,59.88
2025-03,3072.1,212,60.38
2025-04,10987.33,260,63.85
2025-05,3964.0,204,61.76
2025-06,1278.06,222,58.11
2025-07,688.03,226,54.42
2025-08,8.5,33,51.52
2025-10,960.92,82,59.76
2025-11,-685.12,107,47.66
2025-12,399.27,57,57.89
