entry_month,pnl,trades,win_rate
2025-01,2210.03,182,65.38
2025-02,-88.78,146,61.64
2025-03,2589.26,166,65.66
2025-04,10721.62,224,70.98
2025-05,3069.2,174,64.37
2025-06,3014.5,180,70.0
2025-07,2038.96,189,63.49
2025-08,142.42,25,52.0
2025-10,1341.33,72,72.22
2025-11,-213.97,67,56.72
2025-12,5.95,38,57.89
