hour_EST,pnl,trades,win_rate
0,950.82,53,58.49
1,791.96,55,54.55
2,616.38,54,55.56
3,932.99,120,55.0
4,1916.24,75,56.0
5,1530.86,59,59.32
6,-153.56,99,48.48
7,1177.37,47,55.32
8,387.04,77,49.35
9,3808.55,65,61.54
10,829.11,77,49.35
11,2083.55,69,56.52
12,568.52,76,51.32
13,221.71,45,51.11
14,1041.7,27,62.96
15,1028.2,35,57.14
16,1595.47,101,54.46
17,964.02,60,53.33
18,1676.74,87,58.62
19,-110.9,84,51.19
20,440.23,53,52.83
21,-287.39,57,50.88
22,2394.73,95,55.79
23,2177.71,65,67.69
