entry_weekday,pnl,trades,win_rate
Monday,3389.52,479,50.73
Tuesday,2283.35,368,51.63
Wednesday,3118.1,330,52.12
Thursday,2403.43,386,52.59
Friday,2803.52,247,50.2
Sunday,2647.78,149,55.03
