entry_weekday,pnl,trades,win_rate
Monday,5191.11,396,60.86
Tuesday,3845.41,304,62.17
Wednesday,4216.95,287,61.32
Thursday,4622.03,314,63.38
Friday,6195.67,213,64.32
Sunday,3272.85,134,65.67
