hour_EST,pnl,trades,win_rate
0,465.33,56,60.71
1,667.86,59,64.41
2,369.91,50,62.0
3,127.6,118,59.32
4,1883.98,76,64.47
5,2251.55,61,72.13
6,1396.88,101,58.42
7,805.39,48,62.5
8,206.05,77,53.25
9,3265.71,62,67.74
10,1422.0,81,56.79
11,2392.77,66,66.67
12,1618.69,73,64.38
13,-117.14,45,55.56
14,555.58,26,65.38
15,1414.34,40,72.5
16,1960.61,101,62.38
17,1221.97,59,61.02
18,381.24,88,60.23
19,1420.93,92,67.39
20,368.74,58,58.62
21,-223.23,49,59.18
22,1663.04,95,62.11
23,1824.22,67,71.64
