timestamp,open,high,low,close,volume
2026-02-05T17:30:00-05:00,0.77802,0.77821,0.77797,0.778,0
2026-02-05T17:45:00-05:00,0.778,0.7781,0.77798,0.77806,0
2026-02-05T18:00:00-05:00,0.77806,0.77806,0.77792,0.77792,0
2026-02-05T18:15:00-05:00,0.77792,0.77822,0.77792,0.77822,0
2026-02-05T18:30:00-05:00,0.77822,0.77836,0.77807,0.77824,0
2026-02-05T18:45:00-05:00,0.77824,0.77836,0.77777,0.77778,0
2026-02-05T19:00:00-05:00,0.77778,0.77795,0.77758,0.7778,0
2026-02-05T19:15:00-05:00,0.7778,0.7778,0.77746,0.77775,0
2026-02-05T19:30:00-05:00,0.77775,0.77821,0.77767,0.77781,0
2026-02-05T19:45:00-05:00,0.77781,0.77787,0.77756,0.77768,0
2026-02-05T20:00:00-05:00,0.77768,0.77774,0.77725,0.77731,0
2026-02-05T20:15:00-05:00,0.77731,0.77766,0.77724,0.77729,0
2026-02-05T20:30:00-05:00,0.77729,0.7776,0.77724,0.77724,0
2026-02-05T20:45:00-05:00,0.77724,0.77749,0.77716,0.77734,0
2026-02-05T21:00:00-05:00,0.77734,0.77748,0.77706,0.7773,0
2026-02-05T21:15:00-05:00,0.7773,0.77738,0.77711,0.77721,0
2026-02-05T21:30:00-05:00,0.77721,0.77738,0.77701,0.77709,0
2026-02-05T21:45:00-05:00,0.77709,0.77725,0.77693,0.77723,0
2026-02-05T22:00:00-05:00,0.77723,0.77728,0.77707,0.7771,0
2026-02-05T22:15:00-05:00,0.7771,0.77717,0.77693,0.77702,0
2026-02-05T22:30:00-05:00,0.77702,0.77723,0.77699,0.77705,0
2026-02-05T22:45:00-05:00,0.77705,0.77728,0.77699,0.77709,0
2026-02-05T23:00:00-05:00,0.77709,0.77733,0.77704,0.77731,0
2026-02-05T23:15:00-05:00,0.77731,0.77731,0.77714,0.77714,0
2026-02-05T23:30:00-05:00,0.77714,0.7773,0.77707,0.77709,0
2026-02-05T23:45:00-05:00,0.77709,0.7771,0.77656,0.77656,0
2026-02-06T00:00:00-05:00,0.77656,0.77665,0.77648,0.77652,0
2026-02-06T00:15:00-05:00,0.77652,0.77663,0.77636,0.77645,0
2026-02-06T00:30:00-05:00,0.77645,0.77657,0.77633,0.77651,0
2026-02-06T00:45:00-05:00,0.77651,0.77676,0.77651,0.77668,0
2026-02-06T01:00:00-05:00,0.77668,0.77682,0.77645,0.77651,0
2026-02-06T01:15:00-05:00,0.77651,0.77682,0.77625,0.77656,0
2026-02-06T01:30:00-05:00,0.77656,0.77663,0.77629,0.77648,0
2026-02-06T01:45:00-05:00,0.77648,0.77654,0.77624,0.77624,0
2026-02-06T02:00:00-05:00,0.77624,0.7765,0.77614,0.77629,0
2026-02-06T02:15:00-05:00,0.77629,0.7767,0.77625,0.7767,0
2026-02-06T02:30:00-05:00,0.7767,0.77686,0.77655,0.77682,0
2026-02-06T02:45:00-05:00,0.77682,0.77721,0.7767,0.77716,0
2026-02-06T03:00:00-05:00,0.77716,0.77755,0.77716,0.7775,0
2026-02-06T03:15:00-05:00,0.7775,0.77773,0.77729,0.77744,0
2026-02-06T03:30:00-05:00,0.77744,0.77804,0.77726,0.77804,0
2026-02-06T03:45:00-05:00,0.77804,0.77845,0.77775,0.77843,0
2026-02-06T04:00:00-05:00,0.77843,0.77861,0.77819,0.77845,0
2026-02-06T04:15:00-05:00,0.77845,0.77848,0.77817,0.77836,0
