timestamp,open,high,low,close,volume
2026-02-05T17:30:00-05:00,1.3529,1.35328,1.35282,1.35323,0
2026-02-05T17:45:00-05:00,1.35323,1.3534,1.35309,1.35339,0
2026-02-05T18:00:00-05:00,1.35339,1.3537,1.35333,1.35342,0
2026-02-05T18:15:00-05:00,1.35342,1.35364,1.35258,1.35264,0
2026-02-05T18:30:00-05:00,1.35264,1.35268,1.35208,1.35227,0
2026-02-05T18:45:00-05:00,1.35227,1.35264,1.35213,1.35254,0
2026-02-05T19:00:00-05:00,1.35254,1.35264,1.35207,1.35211,0
2026-02-05T19:15:00-05:00,1.35211,1.35248,1.35137,1.35137,0
2026-02-05T19:30:00-05:00,1.35137,1.35203,1.35086,1.352,0
2026-02-05T19:45:00-05:00,1.352,1.35255,1.3518,1.35247,0
2026-02-05T20:00:00-05:00,1.35247,1.35309,1.35239,1.35302,0
2026-02-05T20:15:00-05:00,1.35302,1.35328,1.35262,1.35316,0
2026-02-05T20:30:00-05:00,1.35316,1.35319,1.35251,1.35302,0
2026-02-05T20:45:00-05:00,1.35302,1.3537,1.35282,1.35349,0
2026-02-05T21:00:00-05:00,1.35349,1.35427,1.35346,1.35404,0
2026-02-05T21:15:00-05:00,1.35404,1.35458,1.35398,1.35442,0
2026-02-05T21:30:00-05:00,1.35442,1.35491,1.35414,1.35481,0
2026-02-05T21:45:00-05:00,1.35481,1.35502,1.3546,1.35462,0
2026-02-05T22:00:00-05:00,1.35462,1.35484,1.35434,1.35458,0
2026-02-05T22:15:00-05:00,1.35458,1.35484,1.35454,1.35471,0
2026-02-05T22:30:00-05:00,1.35471,1.35492,1.35445,1.3547,0
2026-02-05T22:45:00-05:00,1.3547,1.35487,1.35439,1.35455,0
2026-02-05T23:00:00-05:00,1.35455,1.3548,1.35451,1.35465,0
2026-02-05T23:15:00-05:00,1.35465,1.35532,1.35454,1.35529,0
2026-02-05T23:30:00-05:00,1.35529,1.35539,1.35489,1.35519,0
2026-02-05T23:45:00-05:00,1.35519,1.35596,1.35507,1.35583,0
2026-02-06T00:00:00-05:00,1.35583,1.35599,1.35553,1.35596,0
2026-02-06T00:15:00-05:00,1.35596,1.35632,1.35586,1.3563,0
2026-02-06T00:30:00-05:00,1.3563,1.35654,1.35623,1.35642,0
2026-02-06T00:45:00-05:00,1.35642,1.35655,1.35621,1.35637,0
2026-02-06T01:00:00-05:00,1.35637,1.35701,1.35635,1.35698,0
2026-02-06T01:15:00-05:00,1.35698,1.35778,1.35684,1.35748,0
2026-02-06T01:30:00-05:00,1.35748,1.35774,1.35734,1.3576,0
2026-02-06T01:45:00-05:00,1.3576,1.35785,1.35705,1.35736,0
2026-02-06T02:00:00-05:00,1.35736,1.35737,1.35676,1.35717,0
2026-02-06T02:15:00-05:00,1.35717,1.3574,1.35635,1.35641,0
2026-02-06T02:30:00-05:00,1.35641,1.35766,1.3564,1.35736,0
2026-02-06T02:45:00-05:00,1.35736,1.3579,1.35659,1.35682,0
2026-02-06T03:00:00-05:00,1.35682,1.35688,1.35647,1.35665,0
2026-02-06T03:15:00-05:00,1.35665,1.35705,1.35607,1.3567,0
2026-02-06T03:30:00-05:00,1.3567,1.35715,1.35627,1.35637,0
2026-02-06T03:45:00-05:00,1.35637,1.35685,1.35621,1.35625,0
2026-02-06T04:00:00-05:00,1.35625,1.35723,1.35583,1.35681,0
2026-02-06T04:15:00-05:00,1.35681,1.35732,1.35659,1.35672,0
2026-02-06T04:30:00-05:00,1.35672,1.35762,1.35661,1.35762,0
2026-02-06T04:45:00-05:00,1.35762,1.35812,1.35759,1.35806,0
2026-02-06T05:00:00-05:00,1.35806,1.35824,1.35767,1.35771,0
2026-02-06T05:15:00-05:00,1.35771,1.3584,1.35768,1.35811,0
2026-02-06T05:30:00-05:00,1.35811,1.35821,1.35726,1.35727,0
2026-02-06T05:45:00-05:00,1.35727,1.35782,1.35719,1.3577,0
2026-02-06T06:00:00-05:00,1.3577,1.358,1.3573,1.35767,0
2026-02-06T06:15:00-05:00,1.35767,1.35828,1.3576,1.35824,0
2026-02-06T06:30:00-05:00,1.35824,1.35923,1.35772,1.35895,0
2026-02-06T06:45:00-05:00,1.35895,1.35922,1.35853,1.35871,0
2026-02-06T07:00:00-05:00,1.35871,1.35912,1.35828,1.35842,0
2026-02-06T07:15:00-05:00,1.35842,1.35929,1.35833,1.35888,0
2026-02-06T07:30:00-05:00,1.35888,1.35915,1.35877,1.35909,0
2026-02-06T07:45:00-05:00,1.35909,1.35947,1.35892,1.35896,0
2026-02-06T08:00:00-05:00,1.35896,1.35949,1.3588,1.35891,0
2026-02-06T08:15:00-05:00,1.35891,1.35923,1.35847,1.35918,0
2026-02-06T08:30:00-05:00,1.35918,1.35946,1.35858,1.35929,0
2026-02-06T08:45:00-05:00,1.35929,1.35964,1.35824,1.35846,0
2026-02-06T09:00:00-05:00,1.35846,1.35889,1.35819,1.35888,0
2026-02-06T09:15:00-05:00,1.35888,1.35981,1.35875,1.35923,0
2026-02-06T09:30:00-05:00,1.35923,1.35967,1.35901,1.35943,0
2026-02-06T09:45:00-05:00,1.35943,1.36075,1.35913,1.36054,0
2026-02-06T10:00:00-05:00,1.36054,1.36098,1.36031,1.36092,0
2026-02-06T10:15:00-05:00,1.36092,1.36142,1.36058,1.36061,0
2026-02-06T10:30:00-05:00,1.36061,1.36075,1.35961,1.35963,0
2026-02-06T10:45:00-05:00,1.35963,1.36058,1.35938,1.36031,0
2026-02-06T11:00:00-05:00,1.36031,1.36155,1.3601,1.36145,0
2026-02-06T11:15:00-05:00,1.36145,1.36156,1.36041,1.36091,0
2026-02-06T11:30:00-05:00,1.36091,1.36099,1.36018,1.36095,0
2026-02-06T11:45:00-05:00,1.36095,1.36143,1.36076,1.36132,0
2026-02-06T12:00:00-05:00,1.36132,1.36165,1.3603,1.36042,0
2026-02-06T12:15:00-05:00,1.36042,1.36105,1.36017,1.36061,0
2026-02-06T12:30:00-05:00,1.36061,1.36106,1.36045,1.3606,0
2026-02-06T12:45:00-05:00,1.3606,1.36194,1.36055,1.36172,0
2026-02-06T13:00:00-05:00,1.36172,1.36237,1.36147,1.36183,0
2026-02-06T13:15:00-05:00,1.36183,1.36224,1.36139,1.36194,0
2026-02-06T13:30:00-05:00,1.36194,1.36216,1.36133,1.36154,0
2026-02-06T13:45:00-05:00,1.36154,1.3622,1.36141,1.36219,0
2026-02-06T14:00:00-05:00,1.36219,1.36231,1.36136,1.36142,0
2026-02-06T14:15:00-05:00,1.36142,1.36183,1.36138,1.3616,0
2026-02-06T14:30:00-05:00,1.3616,1.36166,1.36126,1.36129,0
2026-02-06T14:45:00-05:00,1.36129,1.36172,1.36124,1.36162,0
2026-02-06T15:00:00-05:00,1.36162,1.36209,1.36138,1.36163,0
2026-02-06T15:15:00-05:00,1.36163,1.36176,1.36128,1.36156,0
2026-02-06T15:30:00-05:00,1.36156,1.36176,1.36147,1.36155,0
2026-02-06T15:45:00-05:00,1.36155,1.36162,1.36132,1.36154,0
2026-02-06T16:00:00-05:00,1.36154,1.362,1.36144,1.36189,0
