timestamp,open,high,low,close,volume
2026-01-07T17:30:00-05:00,1.1676,1.16777,1.16748,1.16777,0
2026-01-07T17:45:00-05:00,1.16777,1.16779,1.16773,1.16778,0
2026-01-07T18:00:00-05:00,1.16778,1.16778,1.16772,1.16775,0
2026-01-07T18:15:00-05:00,1.16775,1.16778,1.16757,1.16768,0
2026-01-07T18:30:00-05:00,1.16768,1.16773,1.16763,1.16765,0
2026-01-07T18:45:00-05:00,1.16765,1.16765,1.16752,1.16761,0
2026-01-07T19:00:00-05:00,1.16761,1.16769,1.16758,1.16767,0
2026-01-07T19:15:00-05:00,1.16767,1.16779,1.16766,1.16772,0
2026-01-07T19:30:00-05:00,1.16772,1.16779,1.16762,1.1677,0
2026-01-07T19:45:00-05:00,1.1677,1.1678,1.16766,1.16766,0
2026-01-07T20:00:00-05:00,1.16766,1.16779,1.16757,1.16757,0
2026-01-07T20:15:00-05:00,1.16757,1.16779,1.16749,1.16769,0
2026-01-07T20:30:00-05:00,1.16769,1.1678,1.16757,1.1676,0
2026-01-07T20:45:00-05:00,1.1676,1.16762,1.16729,1.16734,0
2026-01-07T21:00:00-05:00,1.16734,1.16756,1.16732,1.16748,0
2026-01-07T21:15:00-05:00,1.16748,1.16759,1.16736,1.16749,0
2026-01-07T21:30:00-05:00,1.16749,1.16755,1.16726,1.16745,0
2026-01-07T21:45:00-05:00,1.16745,1.16803,1.16744,1.16797,0
2026-01-07T22:00:00-05:00,1.16797,1.16807,1.16783,1.16803,0
2026-01-07T22:15:00-05:00,1.16803,1.1682,1.168,1.16805,0
2026-01-07T22:30:00-05:00,1.16805,1.1682,1.16802,1.16816,0
2026-01-07T22:45:00-05:00,1.16816,1.16827,1.16802,1.16806,0
2026-01-07T23:00:00-05:00,1.16806,1.16806,1.16789,1.168,0
2026-01-07T23:15:00-05:00,1.168,1.168,1.1678,1.16799,0
2026-01-07T23:30:00-05:00,1.16799,1.16811,1.16789,1.16789,0
2026-01-07T23:45:00-05:00,1.16789,1.16799,1.16779,1.16799,0
2026-01-08T00:00:00-05:00,1.16799,1.1681,1.16789,1.16804,0
2026-01-08T00:15:00-05:00,1.16804,1.1681,1.16786,1.16791,0
2026-01-08T00:30:00-05:00,1.16791,1.16797,1.16775,1.1678,0
2026-01-08T00:45:00-05:00,1.1678,1.16827,1.1678,1.16816,0
2026-01-08T01:00:00-05:00,1.16816,1.1683,1.16803,1.16824,0
2026-01-08T01:15:00-05:00,1.16824,1.1683,1.16796,1.16814,0
2026-01-08T01:30:00-05:00,1.16814,1.16817,1.16749,1.16758,0
2026-01-08T01:45:00-05:00,1.16758,1.16814,1.16758,1.16799,0
2026-01-08T02:00:00-05:00,1.16799,1.16828,1.16784,1.16816,0
2026-01-08T02:15:00-05:00,1.16816,1.16827,1.16776,1.16783,0
2026-01-08T02:30:00-05:00,1.16783,1.16814,1.16776,1.16796,0
2026-01-08T02:45:00-05:00,1.16796,1.1683,1.16789,1.16819,0
2026-01-08T03:00:00-05:00,1.16819,1.1682,1.1677,1.16779,0
2026-01-08T03:15:00-05:00,1.16779,1.16789,1.16745,1.16766,0
2026-01-08T03:30:00-05:00,1.16766,1.16769,1.16721,1.16751,0
2026-01-08T03:45:00-05:00,1.16751,1.16761,1.16695,1.16717,0
2026-01-08T04:00:00-05:00,1.16717,1.16728,1.16691,1.16711,0
2026-01-08T04:15:00-05:00,1.16711,1.16747,1.16694,1.16704,0
2026-01-08T04:30:00-05:00,1.16704,1.16755,1.16704,1.16729,0
2026-01-08T04:45:00-05:00,1.16729,1.16745,1.16701,1.16711,0
2026-01-08T05:00:00-05:00,1.16711,1.1677,1.167,1.16768,0
2026-01-08T05:15:00-05:00,1.16768,1.1682,1.16768,1.16799,0
2026-01-08T05:30:00-05:00,1.16799,1.16808,1.16757,1.16778,0
2026-01-08T05:45:00-05:00,1.16778,1.168,1.1677,1.16786,0
2026-01-08T06:00:00-05:00,1.16786,1.16805,1.16761,1.16799,0
2026-01-08T06:15:00-05:00,1.16799,1.16804,1.16764,1.16766,0
2026-01-08T06:30:00-05:00,1.16766,1.16779,1.16759,1.16762,0
2026-01-08T06:45:00-05:00,1.16762,1.16782,1.16752,1.1678,0
2026-01-08T07:00:00-05:00,1.1678,1.16793,1.16762,1.16776,0
2026-01-08T07:15:00-05:00,1.16776,1.16779,1.16722,1.16725,0
2026-01-08T07:30:00-05:00,1.16725,1.16741,1.16708,1.16725,0
2026-01-08T07:45:00-05:00,1.16725,1.16736,1.16705,1.16725,0
2026-01-08T08:00:00-05:00,1.16725,1.16745,1.167,1.16734,0
2026-01-08T08:15:00-05:00,1.16734,1.16765,1.16731,1.16739,0
2026-01-08T08:30:00-05:00,1.16739,1.16779,1.16714,1.16746,0
2026-01-08T08:45:00-05:00,1.16746,1.16751,1.1667,1.16672,0
2026-01-08T09:00:00-05:00,1.16672,1.16673,1.16583,1.16629,0
2026-01-08T09:15:00-05:00,1.16629,1.16667,1.166,1.16601,0
2026-01-08T09:30:00-05:00,1.16601,1.16611,1.16562,1.16589,0
2026-01-08T09:45:00-05:00,1.16589,1.1663,1.16576,1.1662,0
2026-01-08T10:00:00-05:00,1.1662,1.16648,1.1658,1.16647,0
