feature,mi,fold_ic_mean,fold_ic_std,stability,relevance,selected
atr_norm,0.43980916162958916,0.1175836158465233,0.03741678101440698,0.6817884657356449,1.0,True
atr_sma50,0.17374205993902514,0.11127159089882088,0.04132533973949078,0.6286116876970402,0.9776119402985075,True
htf15_atr_norm,0.16158055170332553,0.10790338774304795,0.04684817653437662,0.5658362230279654,0.9626865671641791,True
regime_high_vol,0.10308657668272048,0.06681532164129983,0.01662087700648635,0.7512452556769779,0.9328358208955224,True
htf1h_atr_norm,0.07171303822133712,0.07215693166343853,0.053562445018250304,0.2577053723202867,0.9253731343283582,True
bar_range_norm,0.09624603341546223,0.05629422521727369,0.03397822995399633,0.39642785293324634,0.917910447761194,True
range_sma10,0.30473007870197044,0.10666181912599396,0.03216327223966903,0.6984584459400364,0.9701492537313432,False
htf15_spread_to_range,0.032373011328989953,-0.04776669567031074,0.0412867862231954,0.1356755722914943,0.8582089552238806,False
max_spread,0.044864529229289296,0.04301655396445618,0.02909596055275479,0.3236258719685524,0.8507462686567164,False
htf1h_spread_to_range,0.037730880557645285,-0.04319723305794525,0.033451034189417105,0.22563883239051574,0.8432835820895522,False
total_volume,0.030086166388167968,-0.04740793476089754,0.017933961047243863,0.6217176965124381,0.835820895522388,False
hour_sin,0.02985832568355873,-0.04474439395272025,0.03300293047198988,0.2624284299103037,0.8208955223880596,False
spread_to_range,0.05166422256856418,-0.029133313935283,0.045105188758361926,0.0,0.8059701492537313,False
sell_volume,0.026636765668308193,-0.04293847628257054,0.02781446656377555,0.3522402001194026,0.791044776119403,False
buy_volume,0.018371927533606502,-0.03968431360609827,0.01959100834586384,0.5063410978601067,0.7313432835820896,False
tick_velocity_sma5,0.03156541298734705,0.023820767208276982,0.05211955012808635,0.0,0.7313432835820896,False
avg_spread,0.016061421930135822,0.0381556780876414,0.024166268775732254,0.3666569002619888,0.708955223880597,False
regime_wide_spread,0.015068259099077164,-0.03623388515896412,0.03771408925158548,0.0,0.6940298507462687,False
spread_sma5,0.014467903857548592,0.03608048419547962,0.02283033064940123,0.3672563322031672,0.6791044776119403,False
htf15_ret8,0.021171054281865942,0.021801864111099172,0.013084545016439755,0.3998703587856234,0.6567164179104478,False
volatility_regime,0.018342030954981325,0.023790417233802146,0.008557934837822015,0.6402931883493199,0.6417910447761194,False
tick_velocity,0.024866577195926887,0.016118220699277402,0.05232156183704276,0.0,0.6268656716417911,False
htf1h_ret8,0.019224728698963744,0.02039473056522971,0.013989568399245854,0.3140932924905848,0.6194029850746269,False
htf1h_ret3,0.013305709017363831,0.026681110777193255,0.02687786704875488,0.0,0.6119402985074627,False
htf15_trend_strength,0.020672494614358605,0.013999954207193055,0.006562916247549427,0.5312522167826461,0.5671641791044776,False
ret_50,0.038848779246803744,0.008872052462075276,0.02474500140038196,0.0,0.5597014925373134,False
edge_breakout_x_trend1h,0.008829691886544033,0.026497190949436793,0.011148752609210905,0.5792636323557074,0.5597014925373134,False
edge_signal_x_trend15,0.012129799435411925,-0.020719244591218787,0.011076370355337843,0.46543245150532664,0.5373134328358209,False
range_ratio,0.011512899498494988,-0.021520857578737403,0.019338637647914887,0.10144198393820036,0.5298507462686567,False
htf1h_trend_strength,0.007474033810699332,0.026530530216245175,0.010867963055559109,0.5903755657144611,0.5149253731343284,False
htf1h_rsi14,0.006983661986462941,0.02473074842410176,0.007383431001467716,0.7014594004897623,0.49253731343283585,False
tick_velocity_ratio,0.011605897058675652,-0.016027875769108545,0.022475169101967746,0.0,0.4850746268656716,False
is_ny,0.0029826718553469522,0.03261264904597118,0.03372551326760107,0.0,0.4776119402985075,False
htf15_rsi14,0.008536894557148678,0.018757201740633507,0.013466361100637952,0.2821080993351571,0.4776119402985075,False
ret_10,0.06573150203765898,0.002195520968731163,0.036921884446350715,0.0,0.47761194029850745,False
hour_cos,0.024635409659731877,-0.004504957545090907,0.020145829769736768,0.0,0.417910447761194,False
htf15_ret3,0.02411315322851415,0.004777538591346144,0.026453353799639756,0.0,0.417910447761194,False
breakout_distance_atr,0.014122843008967934,-0.008312151574889454,0.03066717235187456,0.0,0.39552238805970147,False
body_ratio,0.007795205425203733,-0.01268647907339655,0.01669481248102873,0.0,0.3880597014925373,False
buy_ratio_chg1,0.008263649996242961,-0.011995393040264698,0.02178938466716071,0.0,0.3880597014925373,False
edge_breakout_x_trend15,0.014292732004245856,0.007953826714918278,0.002855874971817073,0.6409884119208733,0.3880597014925373,False
lower_wick_ratio,0.0006560343022927739,0.02271423079110648,0.027313443249593918,0.0,0.373134328358209,False
dist_to_high_50,0.008709715750829794,0.009809725272059571,0.020830404550190914,0.0,0.3731343283582089,False
vol_imbalance_chg1,0.0049458773721156035,-0.0157703513022031,0.021457462143004435,0.0,0.3731343283582089,False
htf15_buy_ratio_sma4,0.013933091477279724,0.008024775176352205,0.02241292269071524,0.0,0.3731343283582089,False
edge_velocity_x_regime,0.0030958825190605666,-0.016350724462254947,0.026483444912483972,0.0,0.3731343283582089,False
spread_ratio,0.01004484147797502,0.008411038928542936,0.01973269534927805,0.0,0.34328358208955223,False
buy_ratio_sma5,0.005582196560957264,0.011543124633915047,0.02125753839739545,0.0,0.3283582089552239,False
micro_trend_alignment,0.0026554616679315135,-0.01559282828505859,0.012922139704190884,0.17132987051214466,0.3283582089552239,False
regime_stress,0.003666664545076692,0.012247817238588397,0.030560317451459585,0.0,0.3283582089552239,False
dist_to_low_50,0.013951973994991818,0.003152531010842665,0.02405819438752832,0.0,0.31343283582089554,False
tick_velocity_z20,0.0004161293487197071,-0.017036865965334217,0.02232177101144062,0.0,0.31343283582089554,False
upper_wick_ratio,0.0037906119653348114,-0.010114085978682226,0.036438946280611964,0.0,0.29850746268656714,False
vol_imbalance_sma50,0.006102412911292099,0.009006844614434923,0.015266171061565116,0.0,0.29104477611940294,False
liquidity_shock,0.013504231882049744,0.0015477712636942764,0.010296050579560066,0.0,0.2835820895522388,False
edge_signal_x_trend1h,0.0024241716497419574,-0.010504337940759103,0.026506742601353273,0.0,0.26119402985074625,False
htf15_vol_imb_sma4,0.00801416683092615,0.0073000776719445715,0.02465928587181871,0.0,0.25373134328358204,False
vol_imbalance_sma5,0.0024797722559988244,0.009747946829854848,0.018003497804128896,0.0,0.2462686567164179,False
edge_spreadpenalty_x_regime,0.0,0.012175383506059186,0.030625410750429873,0.0,0.22388059701492538,False
price_vol_divergence,0.0018424897342761426,-0.009123213817686562,0.0309653187687113,0.0,0.21641791044776118,False
is_london,0.008087668054761243,-0.0010054625799442059,0.025816007667492542,0.0,0.20149253731343283,False
dist_to_low_10,0.0,0.008565692415272358,0.0325986978466558,0.0,0.1492537313432836,False
vol_imbalance,0.0005629142047229863,0.007376390041251868,0.025814223774548475,0.0,0.13432835820895522,False
buy_ratio,0.0,0.007885540071945347,0.028199787148164485,0.0,0.11194029850746268,False
rsi_14,0.0,0.006484171457854073,0.031416046140327336,0.0,0.08955223880597014,False
order_flow_toxicity,0.0021145524933263715,0.0006561625633419125,0.027999040954371,0.0,0.08208955223880596,False
dist_to_high_10,0.0,-0.003463078308887836,0.030703335770462352,0.0,0.06716417910447761,False
