session,trade_count,total_pnl,avg_pnl,std_pnl,winners,win_rate,losers,pnl_if_excluded,pnl_improvement
European,28,7102.7,253.67,349.49,20,71.4,8,5350.94,-7102.7
US,36,4753.88,132.05,396.53,19,52.8,17,7699.759999999999,-4753.88
Asian,24,597.06,24.88,390.16,10,41.7,14,11856.58,-597.0599999999995
