hour,trade_count,total_pnl,avg_pnl,std_pnl,winners,win_rate,losers,pnl_if_excluded,pnl_improvement
8,6,2116.14,352.69,347.45,5,83.3,1,10337.5,-2116.1399999999994
14,6,1729.66,288.28,331.36,4,66.7,2,10723.98,-1729.6599999999999
15,12,1514.24,126.19,391.93,6,50.0,6,10939.4,-1514.2399999999998
11,4,1378.95,344.74,299.6,3,75.0,1,11074.689999999999,-1378.9500000000007
19,5,1097.5,219.5,393.99,3,60.0,2,11356.14,-1097.5
6,3,1094.49,364.83,229.95,3,100.0,0,11359.15,-1094.4899999999998
9,2,989.54,494.77,0.14,2,100.0,0,11464.099999999999,-989.5400000000009
7,2,988.76,494.38,0.04,2,100.0,0,11464.88,-988.7600000000002
17,6,820.01,136.67,400.61,3,50.0,3,11633.63,-820.0100000000002
20,3,632.64,210.88,491.05,2,66.7,1,11821.0,-632.6399999999994
10,3,460.04,153.35,375.92,2,66.7,1,11993.599999999999,-460.0400000000009
16,6,413.52,68.92,466.05,3,50.0,3,12040.119999999999,-413.52000000000044
18,4,275.97,68.99,491.44,2,50.0,2,12177.67,-275.96999999999935
4,2,162.2,81.1,585.16,1,50.0,1,12291.439999999999,-162.20000000000073
5,2,138.16,69.08,602.13,1,50.0,1,12315.48,-138.15999999999985
23,2,137.8,68.9,601.65,1,50.0,1,12315.84,-137.79999999999927
21,2,137.56,68.78,601.76,1,50.0,1,12316.08,-137.5599999999995
0,4,-108.2,-27.05,372.45,1,25.0,3,12561.84,108.20000000000073
3,3,-155.43,-51.81,474.45,1,33.3,2,12609.07,155.4300000000003
2,3,-218.18,-72.73,491.31,1,33.3,2,12671.82,218.1800000000003
22,2,-234.82,-117.41,97.93,0,0.0,2,12688.46,234.8199999999997
1,1,-356.52,-356.52,,0,0.0,1,12810.16,356.52000000000044
13,5,-560.39,-112.08,375.15,2,40.0,3,13014.029999999999,560.3899999999994
