entry_weekday,pnl,trades,win_rate
Monday,6276.92,369,57.99
Tuesday,3682.97,267,58.05
Wednesday,5335.04,268,58.58
Thursday,5496.17,294,59.86
Friday,6672.09,195,61.03
Sunday,3530.49,115,62.61
