entry_weekday,pnl,trades,win_rate
Monday,5297.6,353,48.16
Tuesday,2673.67,267,47.19
Wednesday,3185.8,249,46.59
Thursday,3863.8,289,49.13
Friday,6550.38,192,51.04
Sunday,2882.79,112,52.68
