hour_EST,pnl,trades,win_rate
0,419.37,61,65.57
1,462.14,67,67.16
2,750.57,53,69.81
3,346.61,126,63.49
4,963.49,81,65.43
5,1926.82,62,75.81
6,2145.26,108,65.74
7,844.4,51,68.63
8,859.11,84,61.9
9,3196.1,70,72.86
10,1693.28,85,65.88
11,1888.02,75,69.33
12,2120.52,80,72.5
13,61.82,51,64.71
14,255.5,28,67.86
15,1261.84,47,72.34
16,1652.64,115,67.83
17,1648.89,64,68.75
18,1075.7,111,68.47
19,1118.18,112,70.54
20,493.68,65,64.62
21,-157.96,63,66.67
22,1153.54,107,65.42
23,1276.72,73,73.97
