hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0,18,18,14,11,0
1,22,0,17,0,28,0
2,21,0,0,32,0,0
3,32,31,28,0,35,0
4,31,23,27,0,0,0
5,0,13,0,21,28,0
6,27,21,26,17,17,0
7,17,18,16,0,0,0
8,30,20,0,34,0,0
9,13,0,0,29,28,0
10,29,23,17,16,0,0
11,23,0,0,23,29,0
12,0,29,28,0,23,0
13,31,20,0,0,0,0
14,0,0,0,28,0,0
15,26,0,0,21,0,0
16,20,33,33,0,29,0
17,0,0,12,21,0,31
18,18,24,13,0,0,56
19,11,13,26,27,0,35
20,30,0,35,0,0,0
21,35,0,0,28,0,0
22,28,29,0,21,0,29
23,0,23,27,23,0,0
