timestamp,bar_close_time,signal_type,action,reason,fast_sma,slow_sma
2025-01-03 08:15:00+00:00,2025-01-03 08:20:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.0282930000000001,1.0282541111111112
2025-01-03 08:20:00+00:00,2025-01-03 08:25:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.028343,1.0282279259259262
2025-01-03 08:25:00+00:00,2025-01-03 08:30:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.028343,1.0282002222222224
2025-01-03 08:30:00+00:00,2025-01-03 08:35:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.028299,1.0281711851851854
2025-01-03 08:35:00+00:00,2025-01-03 08:40:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.028223,1.0281420370370373
2025-01-03 08:40:00+00:00,2025-01-03 08:45:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.0281699999999998,1.02811462962963
2025-01-03 08:45:00+00:00,2025-01-03 08:50:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.028157,1.0280872592592596
2025-01-03 08:50:00+00:00,2025-01-03 08:55:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.0281289999999998,1.0280612962962967
2025-01-03 08:55:00+00:00,2025-01-03 09:00:00+00:00,BUY,rejected,"time_filter_excluded_hour (bar_hour=8 in excluded hours [0, 4, 5, 6, 8, 12, 15, 18, 19, 20, 22] UTC)",1.02812,1.0280341481481488
2025-01-07 14:10:00+00:00,2025-01-07 14:15:00+00:00,SELL,rejected,"stochastic_crossing_direction_mismatch (last crossing was BULLISH, need BEARISH)",1.0395360000000002,1.0396028148148146
