hour_EST,pnl,trades,win_rate
0,584.49,50,58.0
1,1015.26,52,61.54
2,3.21,49,55.1
3,698.8,110,58.18
4,2233.08,71,59.15
5,1835.49,56,64.29
6,1775.7,93,55.91
7,442.46,45,55.56
8,965.34,71,53.52
9,3441.01,60,65.0
10,1256.67,76,53.95
11,3420.55,62,66.13
12,827.15,67,55.22
13,252.11,43,53.49
14,817.58,26,61.54
15,1479.66,33,66.67
16,2976.48,94,62.77
17,1315.83,54,59.26
18,810.98,77,58.44
19,702.67,77,59.74
20,535.91,52,57.69
21,-383.3,49,55.1
22,1985.4,84,58.33
23,2001.15,57,71.93
